"","V1","V2","V3","V4","V5","V6"
"""""	""",0.184307360020466,0.198078125226311,0.158278285129927,0.133539172355086,0.198089109337889,0.102497503580526
"propertygroup""",0.235056823119521,0.240481734741479,0.265158838219941,0.284416644927114,0.244502963800915,0.275004198006354
"generatepackageonbuildtruegeneratepackageonbuild""",0.247709325444885,0.205429816688411,0.212940273224376,0.223337180353701,0.28876573422458,0.289232878223993
"packageidabotpackageid""",0.282802510098554,0.256294530932792,0.239244377985597,0.245852852193639,0.28389983123634,0.232685737754218
"companysharpdev",0.292079120012932,0.291920332680456,0.246385453478433,0.237405594927259,0.251510117575526,0.294097690889612
"llccompany""",0.284894031845033,0.294688655016944,0.283254915778525,0.272602564259432,0.25462319473736,0.284997426858172
"descriptionabot",0.267909363098443,0.244393333396874,0.262438207678497,0.284588904795237,0.286055384250358,0.289073441177607
"is",0.266542620118707,0.215406016958877,0.260841212328523,0.221239653415978,0.291358312498778,0.291590894013643
"an",0.248709688219242,0.217984437174164,0.260776292206719,0.233195551135577,0.226122587523423,0.262736167828552
"open",0.288571575749666,0.257656808570027,0.208644162490964,0.226206214819103,0.236626531579532,0.223473252402619
"source",0.299797927238978,0.27572469941806,0.265606129937805,0.215184272732586,0.234982468443923,0.254444857523777
"c",0.133848437364213,0.154802624718286,0.132997063850053,0.101696428097785,0.166416132147424,0.11250922139734
"web",0.230046690907329,0.217364643560722,0.264181968523189,0.282105235056952,0.224627573555335,0.262103601335548
"crawler",0.235838702996261,0.211369942314923,0.281615919200704,0.259303195588291,0.258210119605064,0.244855332444422
"built",0.221395248291083,0.290829873969778,0.230041745374911,0.210020105284639,0.290700759692118,0.25087747820653
"for",0.272859304212034,0.228194266697392,0.298695093230344,0.249230623943731,0.227586578507908,0.279092683736235
"speed",0.288340189587325,0.204699857509695,0.201640502363443,0.297615310340188,0.294886048231274,0.293967906245962
"and",0.277295292541385,0.273494931007735,0.260643001133576,0.294586323527619,0.224872246221639,0.227456366107799
"flexibility",0.206180073320866,0.28782733050175,0.26850337034557,0.216014163196087,0.202254030527547,0.232003688719124
"it",0.203762053698301,0.26079777716659,0.280064287036657,0.277182009746321,0.296483108680695,0.28155032726936
"takes",0.216241715592332,0.224780085170642,0.270875079929829,0.257275754329748,0.263383519626223,0.25187018525321
"care",0.284816890908405,0.235696069058031,0.236542267911136,0.23598178147804,0.246675469051115,0.242281460878439
"of",0.238924685306847,0.240908690961078,0.259496117243543,0.208355412492529,0.221607503644191,0.217169394390658
"the",0.271489159180783,0.262123242742382,0.242496479256079,0.222607337217778,0.232927676849067,0.248698267154396
"low",0.252448527561501,0.289060463034548,0.279198346612975,0.286969010112807,0.243072819057852,0.256249963189475
