"","V1","V2","V3","V4","V5","V6"
"""""	""",0.146788144856691,0.105801971442997,0.132783803693019,0.161389049817808,0.100069660996087,0.196708326670341
"licensed",0.219075400568545,0.215686732996255,0.235691633820534,0.230505014653318,0.24148196594324,0.229577517020516
"to",0.256502493540756,0.267595657333732,0.263498078333214,0.279255839483812,0.224168813950382,0.222565542766824
"the",0.240512255136855,0.268611928750761,0.202348186192103,0.212007686984725,0.223386058094911,0.294332057866268
"apache",0.214998896280304,0.20195594811812,0.25886048853863,0.274667927762493,0.284321652143262,0.264843855495565
"software",0.232228077133186,0.252046268247068,0.218521535769105,0.223798173083924,0.271106630982831,0.256501916167326
"foundation",0.218835410615429,0.289097482571378,0.272289780457504,0.276094786380418,0.258562637190335,0.205141728767194
"asf",0.278470405982807,0.258824595669284,0.215974297956564,0.248214607057162,0.208517403714359,0.210396590107121
"under",0.230287072784267,0.21677363095805,0.226850656047463,0.24568993144203,0.249665579665452,0.237691160221584
"one""",0.296124719642103,0.273193180863745,0.229072443838231,0.263125275820494,0.297396359406412,0.246137385023758
"distributed",0.261959067499265,0.233240401861258,0.272769101872109,0.292892439546995,0.242326583340764,0.298957879701629
"with",0.226765529857948,0.210451467870735,0.272369238571264,0.279009507666342,0.256880667712539,0.260551730706356
"this",0.263919538888149,0.235143024427816,0.27373794997111,0.249412703886628,0.224423443549313,0.207478222250938
"work",0.222497294726782,0.259233403834514,0.20570352897048,0.290605664788745,0.276006622076966,0.220830406574532
"for",0.229692388465628,0.204145483416505,0.211674892599694,0.281221094285138,0.215227362303995,0.273302595410496
"additional",0.288382370327599,0.20704424653668,0.224567289440893,0.221770005789585,0.202497667982243,0.247913972148672
"information""",0.270597317512147,0.277419600519352,0.294979303376749,0.262220636825077,0.284711968083866,0.265347433811985
"you",0.271733827795833,0.228580590593629,0.205603707907721,0.262851026165299,0.257622357970104,0.262874302803539
"license",0.24020564018283,0.257352531910874,0.275862227380276,0.289715869678184,0.276670623198152,0.226662967004813
"version",0.294438051874749,0.24984543833416,0.250824509211816,0.229850187734701,0.237373120267875,0.218689869740047
