"","V1","V2","V3","V4","V5","V6"
"""""	""",0.184307360020466,0.198078125226311,0.158278285129927,0.133539172355086,0.198089109337889,0.102497503580526
"licensed",0.235056823119521,0.240481734741479,0.265158838219941,0.284416644927114,0.244502963800915,0.275004198006354
"to",0.247709325444885,0.205429816688411,0.212940273224376,0.223337180353701,0.28876573422458,0.289232878223993
"the",0.282802510098554,0.256294530932792,0.239244377985597,0.245852852193639,0.28389983123634,0.232685737754218
"apache",0.292079120012932,0.291920332680456,0.246385453478433,0.237405594927259,0.251510117575526,0.294097690889612
"software",0.284894031845033,0.294688655016944,0.283254915778525,0.272602564259432,0.25462319473736,0.284997426858172
"foundation",0.267909363098443,0.244393333396874,0.262438207678497,0.284588904795237,0.286055384250358,0.289073441177607
"asf",0.266542620118707,0.215406016958877,0.260841212328523,0.221239653415978,0.291358312498778,0.291590894013643
"under",0.248709688219242,0.217984437174164,0.260776292206719,0.233195551135577,0.226122587523423,0.262736167828552
"one",0.288571575749666,0.257656808570027,0.208644162490964,0.226206214819103,0.236626531579532,0.223473252402619
"or",0.299797927238978,0.27572469941806,0.265606129937805,0.215184272732586,0.234982468443923,0.254444857523777
"more""",0.233848437364213,0.254802624718286,0.232997063850053,0.201696428097785,0.266416132147424,0.21250922139734
"this",0.230046690907329,0.217364643560722,0.264181968523189,0.282105235056952,0.224627573555335,0.262103601335548
"work",0.235838702996261,0.211369942314923,0.281615919200704,0.259303195588291,0.258210119605064,0.244855332444422
"for",0.221395248291083,0.290829873969778,0.230041745374911,0.210020105284639,0.290700759692118,0.25087747820653
"additional",0.272859304212034,0.228194266697392,0.298695093230344,0.249230623943731,0.227586578507908,0.279092683736235
"information",0.288340189587325,0.204699857509695,0.201640502363443,0.297615310340188,0.294886048231274,0.293967906245962
"regarding",0.277295292541385,0.273494931007735,0.260643001133576,0.294586323527619,0.224872246221639,0.227456366107799
"copyright",0.206180073320866,0.28782733050175,0.26850337034557,0.216014163196087,0.202254030527547,0.232003688719124
"ownership""",0.203762053698301,0.26079777716659,0.280064287036657,0.277182009746321,0.296483108680695,0.28155032726936
"license",0.216241715592332,0.224780085170642,0.270875079929829,0.257275754329748,0.263383519626223,0.25187018525321
"you",0.284816890908405,0.235696069058031,0.236542267911136,0.23598178147804,0.246675469051115,0.242281460878439
"may",0.238924685306847,0.240908690961078,0.259496117243543,0.208355412492529,0.221607503644191,0.217169394390658
"not",0.271489159180783,0.262123242742382,0.242496479256079,0.222607337217778,0.232927676849067,0.248698267154396
"use",0.252448527561501,0.289060463034548,0.279198346612975,0.286969010112807,0.243072819057852,0.256249963189475
"file",0.254464158881456,0.240996561385691,0.265205722278915,0.237214965536259,0.229445066885091,0.226574833760969
"except",0.280105866398662,0.245980136143044,0.215192141989246,0.262223636172712,0.213011813419871,0.244985655508935
"in",0.200915105780587,0.255208692373708,0.215502207749523,0.251369047164917,0.250529658980668,0.242615944216959
"compliance",0.287833048007451,0.246608690288849,0.299460349651054,0.228477956936695,0.261555031104945,0.240555223915726
"with""",0.27699062100146,0.26807986877393,0.247531305649318,0.209378705034032,0.298816536529921,0.210333230206743
"""",0.148812541249208,0.157460899860598,0.12171217254363,0.165694657154381,0.156610101996921,0.10522264202591
"distributed",0.224796018050984,0.278331233211793,0.250516651128419,0.202523011527956,0.266130918660201,0.249591861944646
"is",0.263924678391777,0.277252940181643,0.21230122379493,0.293402967206202,0.249327051290311,0.236180095816962
"on",0.276674699457362,0.263003657246008,0.207163274846971,0.23272322344128,0.278975540702231,0.222542160493322
"an",0.265905418642797,0.23709981625434,0.200259755458683,0.287427486665547,0.232480058446527,0.288126652757637
"as",0.249294908135198,0.2824613296194,0.218931996799074,0.260884623997845,0.270336410822347,0.254802281106822
"basis""",0.232950864732265,0.27217071193736,0.210121379047632,0.281800471502356,0.296786168473773,0.229060506122187
"see",0.239769679377787,0.277376733883284,0.209705901448615,0.279180526011623,0.298246661899611,0.233399944985285
"specific",0.200611270521767,0.26368579226546,0.230024668388069,0.245727676013485,0.245173306786455,0.212737480318174
"language",0.219921431480907,0.277477089175954,0.230000490811653,0.211764517845586,0.236318384646438,0.20785824644845
"governing",0.240587824280374,0.217684105923399,0.265420178649947,0.240935309394263,0.283932499494404,0.258022969448939
"permissions",0.274366918229498,0.2530553083634,0.214298069104552,0.21158741498366,0.222446859790944,0.28774104481563
"and""",0.258498729858547,0.20989564510528,0.236113628279418,0.26910793883726,0.249339035176672,0.22501476414036
"""""	""package",0.234753464767709,0.246269288915209,0.260090237483382,0.20008014915511,0.232700488413684,0.283001793012954
"orgapachejmetercontrol""",0.245553157455288,0.235134462523274,0.200375284859911,0.251389508531429,0.202123291837052,0.238635471835732
"""""	""import",0.207780090509914,0.255023494223133,0.277545087551698,0.296407806337811,0.241730680479668,0.236668145889416
"javautilarraylist""",0.204849150707014,0.244281918462366,0.246406156965531,0.232752802688628,0.223305259295739,0.230004430888221
"javautillinkedlist""",0.227491383277811,0.221842923969962,0.274229288147762,0.288505413359962,0.267688343720511,0.29817179501988
"javautilconcurrentconcurrenthashmap""",0.266747090732679,0.230262575205415,0.227010251837783,0.245604541921057,0.272992429393344,0.23182042024564
"orgapachejmeterengineeventloopiterationevent""",0.260555062675849,0.285875041992404,0.246066992869601,0.264214947866276,0.238964203838259,0.253320993669331
"orgapachejmetersamplerssampler""",0.287524962169118,0.253573831752874,0.293957799999043,0.275511749181896,0.232955811684951,0.295099709928036
"orgapachejmetertestelementtestelement""",0.263606577948667,0.284708391665481,0.210444842954166,0.212539427075535,0.227154219173826,0.297326729190536
"orgapachejmeterthreadstestcompilerhelper""",0.291060275677592,0.216934064892121,0.265583271440119,0.296360251237638,0.26944441664964,0.298633393296041
"orgapacheloglogger""",0.245144789922051,0.274495487171225,0.200172074581496,0.261140353721567,0.267907546460629,0.288800661056302
"javaioprintstream""",0.249507536343299,0.271454498590901,0.276753204734996,0.267575857019983,0.219620320131071,0.201439216756262
"javaiofileoutputstream""",0.209776531672105,0.242437648656778,0.231229063589126,0.220398934022523,0.284864547033794,0.251468437211588
"javaiofilenotfoundexception""",0.280190840852447,0.2956213966012,0.297041267063469,0.243022768362425,0.211340659856796,0.278436975949444
"javautilnosuchelementexception""",0.282558728987351,0.262414296180941,0.262743753148243,0.274052585056052,0.281324807438068,0.282480431394652
"p""",0.196138778841123,0.198525840952061,0.110410797828808,0.149263134645298,0.17003381846007,0.108477561967447
"it",0.224614471336827,0.235408648988232,0.23926744167693,0.281344962725416,0.247266500489786,0.203434926830232
"also",0.280819715536199,0.263835352961905,0.239146265829913,0.256568055506796,0.236539444560185,0.267975377244875
"implements",0.268072152673267,0.237631650432013,0.275021816371009,0.222441813466139,0.218911308888346,0.261043541552499
"simplecontroller""",0.222543607465923,0.252708859392442,0.214877595053986,0.244540325645357,0.22744688896928,0.267328579234891
"codewhile",0.226794013590552,0.258183775609359,0.257982841157354,0.250641089165583,0.228881330066361,0.244082088256255
"running",0.249852775689214,0.250553771969862,0.208193412120454,0.282791102561168,0.294034852739424,0.282505392236635
"sampler",0.270134815759957,0.2633977556834,0.296479574916884,0.211510191787966,0.23630056947004,0.278309782454744
"controllernext",0.216817036736757,0.207431885926053,0.2406137870159,0.25019151547458,0.249414734984748,0.260765142948367
"nullcode""",0.265544398175552,0.277853761124425,0.225553102791309,0.260598551412113,0.292279837816022,0.268511509662494
"static",0.206850093533285,0.277556896233,0.213438602979295,0.217990339756943,0.243780621094629,0.281616718717851
"printstream",0.284765094844624,0.252960975375026,0.204493364156224,0.287430684524588,0.241790904616937,0.221570010832511
"ruffianismsolarium",0.25823286594823,0.205789316585287,0.203862407128327,0.215371212665923,0.299997917446308,0.249671718711033
"null""",0.231671836576425,0.277556000347249,0.222912009619176,0.269601553259417,0.203982189181261,0.254163692472503
"""""	""private",0.261786730517633,0.235160333011299,0.210893413214944,0.294797908933833,0.286390568665229,0.233547591581009
"final",0.237130131828599,0.299473655363545,0.235199599340558,0.271031239163131,0.277027183445171,0.298768919263966
"javautilconcurrentatomicatomicboolean",0.277552097872831,0.206441000616178,0.270095825684257,0.220190702145919,0.290302916523069,0.241553059197031
"netterfucoideae",0.236785562010482,0.27602353990078,0.241900732275099,0.21781019854825,0.251726116123609,0.219115446042269
"new",0.293178105237894,0.23913779661525,0.205351192201488,0.229491283162497,0.212036366155371,0.272614892735146
"javautilconcurrentatomicatomicboolean""",0.260399681469426,0.239932945067994,0.225550308381207,0.289323468715884,0.250918758101761,0.23915202205535
"""""	""""",0.110571361146867,0.151592879882082,0.191044539865106,0.197291010897607,0.119338921504095,0.133773706085049
"""""	""false""",0.266982386051677,0.212649128981866,0.293402424827218,0.264103011530824,0.207467237021774,0.208104339195415
"long",0.267881706682965,0.232267764094286,0.235620357259177,0.2038534990279,0.273542608483694,0.239971621893346
"serialversionuid",0.210429147072136,0.289559646206908,0.200108606019057,0.256255950033665,0.21644683079794,0.248536465712823
"l""",0.112729415949434,0.165198577474803,0.117414509505034,0.178634240943939,0.198933507106267,0.139948947401717
"private",0.277617627102882,0.294762661843561,0.220649976469576,0.220649426826276,0.289550906862132,0.280293753137812
"transient",0.278756725182757,0.227539570140652,0.209780606767163,0.271646976424381,0.245941420714371,0.233390734950081
"linkedlistloopiterationlistener",0.201353010255843,0.227443840913475,0.204709685593843,0.264221628545783,0.285779449762776,0.216972343996167
"iterationlisteners",0.206861132988706,0.272058954345994,0.246436074259691,0.200843033520505,0.27732501977589,0.227590083726682
"only",0.277808554680087,0.2061902387999,0.281733127310872,0.211128863203339,0.292947962437756,0.215873254043981
"create",0.236932028620504,0.232866256870329,0.230919516738504,0.252990062558092,0.287074921978638,0.226951222098432
"map",0.205396775645204,0.278798119397834,0.243491173302755,0.211057720333338,0.202073586522602,0.231906811404042
