"","V1","V2","V3","V4","V5","V6"
"""""	""",0.172121931961738,0.161087815207429,0.157097117230296,0.119390862225555,0.151438010414131,0.173809388256632
"licensed",0.255974107026122,0.269774443772621,0.282856490788981,0.254551644786261,0.236356531339698,0.245934149017558
"to",0.243798606982455,0.241041767201386,0.239012246555649,0.256551763950847,0.232387870992534,0.201105927908793
"the",0.293875598488376,0.212937029777095,0.237855033250526,0.254954902152531,0.211965609551407,0.232349130348302
"apache",0.208174843364395,0.276970823435113,0.282467039837502,0.217926007113419,0.296247438387945,0.263837873958983
"software",0.278263087687083,0.247342441999353,0.205906703881919,0.29537686011754,0.235796070075594,0.276559270615689
"foundation",0.278398828441277,0.217994630080648,0.260506351711228,0.243862575734966,0.264313162048347,0.245549515495077
"asf",0.213730409112759,0.287320660543628,0.272930927923881,0.211141153238714,0.293914453196339,0.218146665743552
"under",0.287113657756709,0.296548813045956,0.243622381729074,0.229958192654885,0.267405151901767,0.243631723080762
"one",0.292077394924127,0.234841914661229,0.286816502199508,0.262500257464126,0.289273126539774,0.232680192845874
"or",0.208236707025208,0.200818374729715,0.299141564313322,0.231502728699707,0.263693860312924,0.291193743282929
"more""",0.286533140903339,0.254178725648671,0.240958843450062,0.266526447585784,0.219795621489175,0.269699795986526
"this",0.224616031325422,0.291975840064697,0.233641913835891,0.278846058319323,0.23787232444156,0.297285305755213
"work",0.267997738812119,0.227268511708826,0.227540610777214,0.293751744367182,0.215085219312459,0.218192911776714
"for",0.297740776347928,0.209736770880409,0.295379122742452,0.210716595198028,0.294171592243947,0.229876922932453
"additional",0.297422567964531,0.279118580673821,0.204808883648366,0.260251846327446,0.24948375003878,0.223397060949355
"information",0.283009646786377,0.212964292126708,0.249230073392391,0.238023737771437,0.223686038516462,0.294973671715707
"regarding",0.226635623350739,0.27384236108046,0.218293389095925,0.298580585722812,0.209789566718973,0.293812327948399
"copyright",0.236145044979639,0.200506357639097,0.26348673151806,0.247977725276724,0.264036286179908,0.276057499251328
"ownership""",0.206558304536156,0.254637983790599,0.260032531083562,0.256104716123082,0.261737929470837,0.230482854694128
"license",0.280542772496119,0.263942241389304,0.236555717163719,0.242594327614643,0.224613848072477,0.281963622802868
"you",0.213561789505184,0.223859351058491,0.249566708970815,0.292249834234826,0.216695076646283,0.284275879664347
"may",0.251401878939942,0.255866285390221,0.202301205717959,0.278244197485037,0.266874181642197,0.245035503082909
"not",0.249057058966719,0.26178000906948,0.2085132536944,0.211317868391052,0.226761498837732,0.258638754021376
"use",0.273579102242365,0.294986716727726,0.202416168991476,0.279973429860547,0.245318745286204,0.226968007697724
