"","V1","V2","V3","V4","V5","V6"
"""""	""import",0.26592345207464,0.212916161422618,0.234553764294833,0.22219018638134,0.215338521357626,0.242535166232847
"complanetinkcoffeemudabilitiesinterfaces""",0.206610456877388,0.205857079615816,0.206571078905836,0.260293751419522,0.26121595329605,0.213872739160433
"complanetinkcoffeemudcommandsinterfaces""",0.218042887141928,0.26576686471235,0.282924647931941,0.2343861076748,0.206070012133569,0.21229736993555
"complanetinkcoffeemudlocalesinterfaces""",0.204757675039582,0.234337642090395,0.253912954870611,0.291585884056985,0.287846727063879,0.221651253453456
"compontetecstonesouptracetracer""",0.291218785196543,0.215960247954354,0.290690955403261,0.23024772061035,0.266891960590146,0.225112535408698
"javaiounsupportedencodingexception""",0.286556057957932,0.253364599472843,0.247823470039293,0.204329760139808,0.242072961386293,0.257136487425305
"""""	""",0.117187728756107,0.109373359195888,0.109912155335769,0.145924215740524,0.144281312543899,0.195279041910544
"copyright",0.236357359145768,0.287155315838754,0.246596891875379,0.241495137591846,0.246756212390028,0.264931933698244
"bo",0.256498795538209,0.202592862816527,0.218013601866551,0.24161085318774,0.278652051580139,0.289827200444415
"zimmerman""",0.210159692214802,0.276845308765769,0.281674951920286,0.269199761631899,0.285066848737188,0.236265373346396
"""""	""""",0.166888161282986,0.117865062411875,0.170987414871343,0.172724073845893,0.159672494814731,0.129513987759128
"without",0.245033453777432,0.295552915614098,0.274585389671847,0.23799216968473,0.219462892180309,0.299940399872139
"warranties",0.261923650442623,0.20705048488453,0.252427791152149,0.206781088584103,0.245464355591685,0.294032863969915
"or",0.290282671782188,0.221845507319085,0.253927208040841,0.205731868185103,0.268812416284345,0.228160837152973
"conditions",0.260531005519442,0.239438166306354,0.287319941492751,0.224458013777621,0.247043701144867,0.262831013975665
"of",0.227451598714106,0.26636272307951,0.209802974620834,0.20964187530335,0.209722712845542,0.227906283200718
"any",0.256155841401778,0.2974045624258,0.218106414168142,0.207225558464415,0.290799130592495,0.200752172945067
"kind",0.284356274222955,0.29970094631426,0.26470508754719,0.216915942518972,0.221588578214869,0.274751727236435
"either",0.245152945374139,0.257065355987288,0.257629042258486,0.260084361745976,0.228534521372058,0.24968582179863
"express",0.286779713490978,0.24816061402671,0.28781246826984,0.201551865553483,0.206614050851204,0.234384923987091
"implied""",0.252006954653189,0.297106638620608,0.221885999944061,0.219616411812603,0.205147510208189,0.221960300742649
"""""	""public",0.221693968586624,0.200141608715057,0.271159697300755,0.236927799019031,0.246280501736328,0.218347591417842
"class",0.26178488698788,0.271548480726779,0.228864954318851,0.295656554982997,0.216123049845919,0.270605762954801
"cmcolor",0.274524154770188,0.247011117031798,0.292881694971584,0.279682544572279,0.273133989493363,0.276428343448788
"extends",0.284878826863132,0.29667348433286,0.277695269440301,0.297089700540528,0.269702967628837,0.253515240969136
"stdlibrary",0.227978410269134,0.203643307462335,0.233871204499155,0.255289747426286,0.245567961642519,0.236072320886888
"implements",0.246560740703717,0.289538979367353,0.222994260513224,0.217845345893875,0.296604081476107,0.22057346845977
"colorlibrary""",0.262773607089184,0.212774946261197,0.273944125487469,0.281705649802461,0.273826423170976,0.23166960706003
"""""	""private",0.23755911453627,0.289820895134471,0.228121031681076,0.238997109932825,0.284849730483256,0.219134554453194
"static",0.244064975413494,0.204953953507356,0.224022549879737,0.235732946102507,0.258226135396399,0.264746979461052
"final",0.229425671510398,0.26760524965357,0.27985058631748,0.221277060336433,0.28100323616527,0.272686720732599
"javautilconcurrentatomicatomicboolean",0.231510155508295,0.28453561833594,0.225501211336814,0.247160656424239,0.210528028965928,0.250821969844401
"unworshipedkotwalee",0.258451344654895,0.254599810019135,0.254364299238659,0.278540147677995,0.265022357017733,0.21928909253329
