"","V1","V2","V3","V4","V5","V6"
"""""	""import",0.285511230607517,0.221045882045291,0.206581094511785,0.207800013292581,0.29552396570798,0.291658120648935
"complanetinkcoffeemudcoreinterfaces""",0.204043334117159,0.258823130768724,0.21725436935667,0.272632690821774,0.22084862801712,0.25254183288198
"complanetinkcoffeemudcorecollections""",0.281698043644428,0.211218458041549,0.266941011184826,0.227547867689282,0.273319399286993,0.222952358098701
"complanetinkcoffeemudabilitiesinterfaces""",0.287782537075691,0.251564715895802,0.226011253125034,0.207648704247549,0.213113191607408,0.278571478230879
"complanetinkcoffeemudbehaviorsinterfaces""",0.231481741368771,0.276840664981864,0.252509667840786,0.234391417074949,0.237487441278063,0.212092003319412
"complanetinkcoffeemudcommandsinterfaces""",0.248138645524159,0.260369667597115,0.241291926545091,0.261342299566604,0.298015111521818,0.287427956098691
"complanetinkcoffeemudexitsinterfaces""",0.218503191997297,0.210013641021214,0.251785074872896,0.235629384731874,0.240361449914053,0.225065110111609
"complanetinkcoffeemudlocalesinterfaces""",0.212641294533387,0.289858680730686,0.276937693473883,0.226912514260039,0.258952125255018,0.239983588038012
"complanetinkcoffeemudracesinterfaces""",0.239954729983583,0.201150476024486,0.236127796396613,0.253469630004838,0.256596030527726,0.217018189630471
"compontetecstonesouptracetracer""",0.289323704689741,0.251522452640347,0.250314748706296,0.293329695845023,0.289253765181638,0.253589026560076
"javaiofile""",0.241518622334115,0.26197359377984,0.283782599982806,0.293592178495601,0.287668049358763,0.289717341191135
"javaiounsupportedencodingexception""",0.271158002316952,0.249430709215812,0.2335009861039,0.285373012302443,0.243161694169976,0.28527440445032
"javaioioexception""",0.234031235123985,0.204934866027907,0.217762452107854,0.224594653048553,0.221912920521572,0.274793531419709
"""""	""",0.167661583679728,0.118954797415063,0.178798124333844,0.124764220253564,0.157132534892298,0.112132529937662
"copyright",0.266210131812841,0.277078867889941,0.257692192657851,0.258231107122265,0.283979807374999,0.201170722697862
"bo",0.277118248259649,0.288707034802064,0.246183859813027,0.260761471604928,0.220831775967963,0.236772430432029
"zimmerman""",0.263340581371449,0.241517239692621,0.282685929792933,0.266386113618501,0.225864197732881,0.216309462185018
"you",0.290159687143751,0.290839066263288,0.221892325417139,0.256834797910415,0.268597558885813,0.234905101009645
"may",0.295465850154869,0.281808355962858,0.230112783890218,0.293000977160409,0.270505913393572,0.295988087821752
"not",0.241923042410053,0.216367252194323,0.23213963531889,0.261301337764598,0.258831585850567,0.270988554228097
"use",0.233439405541867,0.241883027390577,0.220245407149196,0.28304096753709,0.215733687556349,0.229624965344556
"this",0.239077807450667,0.267753637838177,0.219028485915624,0.260588146769442,0.28455281869974,0.221590616414323
"file",0.214862823765725,0.25781225906685,0.266731682070531,0.228999864007346,0.297231472982094,0.258180308854207
"except",0.271044424409047,0.235619261907414,0.271818703669123,0.23490417317953,0.254816188430414,0.264890235359781
"in",0.234718681313097,0.207115455833264,0.211986669409089,0.230142246140167,0.232680809963495,0.2673669164069
"compliance",0.258732423768379,0.259327022358775,0.229633633187041,0.269333182927221,0.284782919171266,0.211148346564732
"with",0.277326058596373,0.270953394379467,0.237032222538255,0.274718933389522,0.220949289365672,0.270408450532705
"the",0.262887845677324,0.29641243875958,0.289240057021379,0.210254760622047,0.290806360729039,0.263397360523231
"license""",0.292046616878361,0.299293036782183,0.283750296104699,0.280438659735955,0.26570715601556,0.256415358325467
"""""	""""",0.193046323908493,0.167005869653076,0.177990455762483,0.19875531278085,0.142695246660151,0.189285211777315
"unless",0.202090411190875,0.263364868657663,0.216502293525264,0.236786716454662,0.254877345939167,0.243323813728057
"required",0.223931100592017,0.265365367871709,0.201215177425183,0.278885265439749,0.209670207602903,0.282442867127247
"by",0.176446050591767,0.149253571941517,0.138740085670725,0.131030223052949,0.113007820467465,0.176827417965978
"applicable",0.28790802937001,0.270314284856431,0.224007495935075,0.233310665050522,0.249058060115203,0.213638986088336
"law",0.269816876063123,0.209607082395814,0.213196724513546,0.272800971800461,0.215129302698188,0.292554745799862
"or",0.26924362226855,0.264285841723904,0.226500817108899,0.285644077486359,0.281601579394192,0.246236273134127
"agreed",0.281064770021476,0.253944546286948,0.254604830523022,0.222666420973837,0.229193416563794,0.220920810219832
"to",0.267640207335353,0.242055089748465,0.228834397369064,0.296737315971404,0.227540253452025,0.202265659393743
"writing",0.26919797626324,0.273860909393989,0.257016680389643,0.234706594049931,0.268442872050218,0.225141040491872
"software""",0.247544219088741,0.253809075942263,0.212811505817808,0.296599279344082,0.292347767832689,0.238735459814779
"without",0.207118612527847,0.27263581447769,0.213136917795055,0.263665930763818,0.233598922728561,0.258460662257858
"warranties",0.20614758967422,0.202523420215584,0.227524424111471,0.250514862593263,0.220486722723581,0.229496217123233
"conditions",0.25026174725499,0.225132024288177,0.286979673034511,0.221328953932971,0.275392732699402,0.279752011201344
"of",0.288169699441642,0.269077756092884,0.214579707127996,0.245302869542502,0.245363338757306,0.276340182148851
"any",0.229003628436476,0.213256388460286,0.26063874149695,0.22803596581798,0.270918136858381,0.211345618381165
"kind",0.250598511355929,0.268771849176846,0.226072890055366,0.296543312026188,0.232330939825624,0.25239798007533
"either",0.261172144813463,0.250718372757547,0.261064355075359,0.258121104375459,0.205210551200435,0.271542914933525
"express",0.219059791183099,0.247199591365643,0.250647776643746,0.244447221374139,0.299344012723304,0.217562690423802
"implied""",0.256273661227897,0.252528668777086,0.283874264475889,0.275955549115315,0.205163445230573,0.251842286367901
"limitations",0.288344534439966,0.265485853236169,0.267289313767105,0.265836439561099,0.2759675222449,0.2465902750846
"under",0.266633292217739,0.236611554259434,0.221545221586712,0.296751364809461,0.246155955689028,0.212021288811229
"""""	""public",0.240108242165297,0.211553445388563,0.259933773195371,0.259259462589398,0.228249953337945,0.286940545565449
"class",0.255881003197283,0.273001307621598,0.234805355477147,0.27605913518928,0.258455593581311,0.286282155523077
"cmcolor",0.259458523686044,0.293750838492997,0.263069045543671,0.298848304245621,0.225385982170701,0.252992238430306
"extends",0.288296139379963,0.298443534574471,0.287884559016675,0.236752999387681,0.253334564925171,0.254635886498727
"stdlibrary",0.284808655828238,0.220174744958058,0.264536545821466,0.277262233104557,0.224870390212163,0.207102573034354
"implements",0.2684791008709,0.219763218425214,0.261392235150561,0.228164064395241,0.263107771729119,0.27555929843802
"colorlibrary""",0.23529497962445,0.274240347906016,0.271831207256764,0.267637058044784,0.250880416785367,0.200624839635566
"""""	""private",0.286289475788362,0.29081167827826,0.297779086488299,0.264692748710513,0.246055483911186,0.294774008728564
"t",0.117254946473986,0.114621823374182,0.173774593719281,0.103338136244565,0.141213922784664,0.123583036311902
"shellgrapestalk""",0.221488736360334,0.287358586466871,0.287539505516179,0.282783392746933,0.205333394487388,0.230027563381009
