"","V1","V2","V3","V4","V5","V6"
"""""	""""",0.189164629671723,0.105899375071749,0.169781161658466,0.192585634626448,0.162567049893551,0.160283218184486
"""""	""",0.132833471428603,0.103713033697568,0.130549682909623,0.187675597029738,0.109783425624482,0.104008475295268
"contributor",0.208857067278586,0.255766917881556,0.281855853507295,0.294649363681674,0.259768340783194,0.259839603700675
"license",0.219183311564848,0.238833080907352,0.244978276314214,0.299417972681113,0.299448006926104,0.252743482217193
"agreements",0.232325576874428,0.294043691689149,0.271549466438591,0.202926977979951,0.240842749783769,0.271935266745277
"see",0.24780115573667,0.216587617900223,0.220550207816996,0.248396074515767,0.233654663176276,0.296978765889071
"the",0.296265001758002,0.214280097582378,0.296197084477171,0.28638989108149,0.227688591065817,0.268124698242173
"notice",0.26420316521544,0.284803314111196,0.268595708627254,0.203877865779214,0.230839930847287,0.222364241513424
"file",0.272198707703501,0.299383260635659,0.247607189882547,0.200601757946424,0.276940224319696,0.29921381440945
"distributed",0.248904821835458,0.225201337505132,0.278816063515842,0.208722149417736,0.244360555801541,0.203395022498444
"with""",0.208838579175062,0.204200009838678,0.243053537025116,0.250363604957238,0.2273595119128,0.266308485134505
"asf",0.233166382135823,0.23773890605662,0.296082271169871,0.212745760008693,0.211098500457592,0.216622401610948
"licenses",0.251806452334858,0.254299305845052,0.237429346144199,0.260799690848216,0.287590573169291,0.27838386693038
"this",0.236905006016605,0.201098976563662,0.202543771825731,0.223560334183276,0.203894208814017,0.277733537461609
"to",0.287526854872704,0.28623417718336,0.280056301201694,0.235294994828291,0.29337545321323,0.221489025442861
"you",0.211523096496239,0.25822321830783,0.252398390346207,0.288807156542316,0.200896505755372,0.260127197601832
"under",0.272167621133849,0.283304767170921,0.219594389107078,0.24049256448634,0.252628005971201,0.281902726949193
"apache",0.24687603325583,0.216312710102648,0.298845089739189,0.295223469682969,0.231342016090639,0.292346072336659
"version",0.209428074606694,0.203856910043396,0.231204124586657,0.225147849274799,0.270233562332578,0.249891303805634
"""",0.155667073791847,0.138464299589396,0.162383096548729,0.159090059297159,0.102758468547836,0.118855436122976
"may",0.204933024616912,0.264639019966125,0.270876807603054,0.205336263473146,0.286855562822893,0.237271464173682
"obtain",0.248839334584773,0.288778901682235,0.203372072172351,0.250358650134876,0.213366567064077,0.268996263481677
"a",0.228167291171849,0.274177618301474,0.211566506093368,0.211892275232822,0.294602536060847,0.235602671094239
"copy",0.28484473391436,0.293345726025291,0.204065912798978,0.289141673129052,0.202736639021896,0.272590632014908
"of",0.297154056187719,0.289515764685348,0.207388021168299,0.292777317902073,0.267594103212468,0.214885773835704
"at""",0.248252751049586,0.228400468616746,0.29248201395385,0.240760281239636,0.2919010524638,0.240745192486793
"httpwwwapacheorglicenseslicense""",0.216484306310304,0.224294512788765,0.228809554618783,0.219249323918484,0.244641118636355,0.296082741837017
"unless",0.220129444263875,0.229112111288123,0.226334307924844,0.276932757883333,0.288130548340268,0.249972901772708
"required",0.257941337954253,0.218334060325287,0.258561805053614,0.24681952635292,0.233167324285023,0.275971106765792
"by",0.137272005877458,0.170836464711465,0.13096754043363,0.176087572425604,0.160693049104884,0.195462274807505
"applicable",0.235724564059637,0.209117736970074,0.230091686733067,0.212832037382759,0.240969182318076,0.23248829904478
"law",0.288460646267049,0.207936461921781,0.275422812695615,0.235135503998026,0.295645849616267,0.26934272563085
"or",0.212240360770375,0.296239534206688,0.258000450464897,0.296232803305611,0.271282434859313,0.243248908501118
"agreed",0.272616846510209,0.232190072210506,0.235176841472276,0.282130945008248,0.287899489980191,0.204406679049134
"in",0.203827759297565,0.287027631490491,0.214999875379726,0.252270098007284,0.297567533515394,0.232651403080672
"writing",0.231452892743982,0.232656532735564,0.203231829800643,0.296079468913376,0.24644661762286,0.213425127323717
"software""",0.259577822103165,0.281154348608106,0.217222456261516,0.253369427262805,0.263905312726274,0.282469630171545
"without",0.217062312131748,0.266750143072568,0.210736298002303,0.271774822194129,0.29388105776161,0.237318935571238
"warranties",0.250639699865133,0.248261440359056,0.228812471730635,0.290988489799201,0.272324549988843,0.258576067397371
"conditions",0.24294966077432,0.281803314806893,0.224257644684985,0.246940908185206,0.216700078872964,0.290227012895048
"any",0.277455431059934,0.25019001592882,0.222571708541363,0.229144292837009,0.238472091220319,0.274574513314292
"kind",0.262643378903158,0.235642923926935,0.291690453002229,0.223518732259981,0.282747090584598,0.246859776275232
"either",0.260505504370667,0.292277854215354,0.200088325678371,0.238765901722945,0.263308111368678,0.287039833958261
"express",0.201861787121743,0.263297549611889,0.240542056481354,0.235753015219234,0.243143921415322,0.213423268753104
"implied""",0.228221111255698,0.290224914555438,0.261760105472058,0.224177472805604,0.236195718124509,0.262571682780981
"limitations",0.232894426421262,0.280941900424659,0.206707042851485,0.238072904804721,0.275494258408435,0.288556185085326
"license""",0.273865482443944,0.299120240518823,0.2326203370234,0.238763763010502,0.277306824596599,0.265670245839283
"""""	""import",0.202995021222159,0.229650766309351,0.258024390973151,0.238313103048131,0.289786784606986,0.248421965213493
"javautilregexpattern""",0.290909912902862,0.205547785921954,0.2834299974842,0.296296888100915,0.2682376206154,0.283188135712408
