"","V1","V2","V3","V4","V5","V6"
"""""	""",0.175380246108398,0.168689908878878,0.191123689268716,0.135967764561065,0.164598663477227,0.143565345345996
"copyright",0.219253406580538,0.27964509059675,0.203298414801247,0.202488686772995,0.275358034670353,0.206650136760436
"c",0.109822565037757,0.167930161836557,0.139941913564689,0.12375944214873,0.199811295070685,0.175080707320012
"free",0.234272504132241,0.254020848870277,0.260405284259468,0.278263068618253,0.238306975574233,0.274811985343695
"software""",0.274239722522907,0.20958701397758,0.202000710158609,0.224499216023833,0.204398581362329,0.264952894137241
"this",0.288352055009454,0.216677118907683,0.264462953433394,0.268656596844085,0.272768742428161,0.284698150330223
"program",0.209959563892335,0.257411110308021,0.282502635801211,0.286368693551049,0.276836266811006,0.272329743625596
"is",0.231850542896427,0.287412399752066,0.296798810665496,0.288711453881115,0.225412402278744,0.215845043538138
"software",0.238431365950964,0.28418367637787,0.227240683487616,0.213158958731219,0.298762312019244,0.234439611830749
"you",0.211047298600897,0.255637864070013,0.246513517131098,0.267800783808343,0.255455383798108,0.293590100179426
"can",0.260370157775469,0.288281095237471,0.231956087471917,0.226914817770012,0.238193304277956,0.225525341974571
"redistribute",0.231722648069263,0.296659052139148,0.282005811063573,0.280277385655791,0.277737127570435,0.265462161507457
"it",0.288901213440113,0.228755508759059,0.208864728291519,0.245450355764478,0.278689793194644,0.257868309575133
"andor",0.256272488692775,0.257667879364453,0.279540429334156,0.265866225329228,0.28659303796012,0.215973342140205
"modify""",0.273849211237393,0.293103369674645,0.252341256523505,0.260607096320018,0.257132406439632,0.242259380081669
"the",0.2231637052726,0.290981035470031,0.218423798936419,0.265204278193414,0.237053614412434,0.249344783043489
"foundation",0.25244398470968,0.232531775231473,0.229090535431169,0.207557785371318,0.22139237918891,0.275996831222437
"either",0.258370973332785,0.298859642259777,0.219441670970991,0.255375363887288,0.242466195253655,0.250878567202017
"version",0.260092896572314,0.295777097367682,0.223714132420719,0.27535100793466,0.230742824706249,0.216857468686067
"or",0.228826803830452,0.298326638783328,0.255179236829281,0.245953753124923,0.269732082216069,0.209219973324798
"at",0.255699002649635,0.260331238084473,0.251280978647992,0.211501113558188,0.293798813340254,0.221349829994142
"your",0.215560710802674,0.210999736562371,0.287145998002961,0.297749980189838,0.288688854849897,0.23871356905438
"option""",0.277131372201256,0.289389361883514,0.225919401389547,0.273302164347842,0.294377712486312,0.20559198341798
"distributed",0.228045517276041,0.249140939302742,0.24925544525031,0.26333644669503,0.205683167278767,0.269562965957448
"in",0.209591045114212,0.223514604824595,0.256725407065824,0.237243264820427,0.2875776526751,0.260734410234727
"hope",0.260313763283193,0.257503327471204,0.269870632560924,0.268267500237562,0.231181609118357,0.232705034851097
"that",0.248052714229561,0.237887151329778,0.278581272205338,0.251743793860078,0.277308894996531,0.210522194462828
"will",0.289160365448333,0.268945704214275,0.286535905860364,0.213495826115832,0.230689954431728,0.295739855966531
"be",0.248869548295625,0.277848609769717,0.233694664179347,0.29750848475378,0.29258833352942,0.220178392273374
"useful""",0.233317008032463,0.229021078161895,0.221538438857533,0.239864986366592,0.204182701953687,0.226208878192119
"merchantability",0.271149164112285,0.209444036637433,0.221594030759297,0.211581177497283,0.260670284903608,0.27109785261564
