"","V1","V2","V3","V4","V5","V6"
"""""	""",0.164537160261534,0.110236659855582,0.178055464406498,0.130397457047366,0.15822797936853,0.164143240335397
"licensed",0.278799496009015,0.29977004788816,0.284083875920624,0.228937448840588,0.219674526504241,0.257746074651368
"to",0.255290813767351,0.22530938826967,0.213096964708529,0.27127007660456,0.267344434931874,0.253922025486827
"elasticsearch",0.2293311935151,0.266699950909242,0.236126569611952,0.274398268782534,0.226478724158369,0.228318726178259
"under",0.208189172972925,0.247130820062011,0.281421753950417,0.277317251893692,0.20646236455068,0.256602567457594
"one",0.23474425743334,0.274787548650056,0.27524739052169,0.233516067173332,0.247301200474612,0.223015119647607
"or",0.26616821999196,0.244154712511227,0.241030679503456,0.202672459883615,0.23687318759039,0.270564224780537
"more",0.253855996625498,0.236076242756099,0.286120404256508,0.265310242585838,0.281351982313208,0.241157855605707
"contributor""",0.229358235490508,0.253067828901112,0.288108832063153,0.2124947224278,0.228215942718089,0.204671128443442
"this",0.211673966795206,0.217632399429567,0.21364352137316,0.246072913846001,0.203708521556109,0.274242070852779
"work",0.298722633928992,0.271536999498494,0.259865817893296,0.259947774815373,0.210956167499535,0.238992284564301
"for",0.293763089296408,0.217469249060377,0.250390137708746,0.205920526804402,0.285917821410112,0.223599374410696
"additional",0.213780845445581,0.20917275249958,0.207516687992029,0.239929865626618,0.258241458726116,0.208479318022728
"information",0.29135014556814,0.24548566241283,0.279330208594911,0.220400224532932,0.219278898928314,0.295887938980013
"regarding",0.236715558869764,0.236623321427032,0.262631959072314,0.245964193576947,0.288676944747567,0.231244467687793
"copyright""",0.254597898991778,0.20293787473347,0.274805117235519,0.271889029652812,0.235601004539058,0.282985356333666
"the",0.203767794882879,0.204974685190246,0.256351471343078,0.241159740625881,0.255469519132748,0.214022096665576
"apache",0.208492077584378,0.218429562263191,0.228358769253828,0.271836438565515,0.234786292235367,0.249301592074335
"license",0.263567708013579,0.201792195253074,0.215352860302664,0.299146223859861,0.267762857209891,0.256796660134569
"version",0.261493414011784,0.268958073225804,0.291941885836422,0.298495299648494,0.268911588354968,0.248632182157598
"you",0.219180375221185,0.28130988816265,0.204516775324009,0.287603538786061,0.276972690969706,0.201415130193345
"may""",0.211150221992284,0.224599170987494,0.247382082673721,0.245257753087208,0.201896709366702,0.267411503242329
"may",0.240642953733914,0.235830245679244,0.255107246548869,0.24890451352112,0.264866838837042,0.214557386911474
"obtain",0.278651094366796,0.227882003528066,0.238766219094396,0.204948401171714,0.296915330691263,0.209429443208501
"a",0.278570910845883,0.240636257105507,0.234965153271332,0.248988696443848,0.283073766576126,0.267474022414535
"copy",0.268622776982374,0.212534602521919,0.200731309037656,0.268974485644139,0.28976201931946,0.258825923618861
"of",0.225686477357522,0.256414393382147,0.207514060521498,0.246411467320286,0.279275990277529,0.217054350487888
"at""",0.280853954167105,0.258807314769365,0.212195067107677,0.210089294286445,0.262230221647769,0.234487583511509
"httpwwwapacheorglicenseslicense""",0.210744888964109,0.281016167369671,0.208889264450409,0.265291937952861,0.272829455765896,0.224346911767498
"unless",0.294052838534117,0.223060071934015,0.286040051677264,0.241664473153651,0.289678306085989,0.232899692375213
"required",0.248734136926942,0.293776227533817,0.213513711118139,0.2178793318104,0.297149541950785,0.290362105495296
"by",0.147409640043043,0.147348414245062,0.115228961547837,0.146561483992264,0.12832647068426,0.143227311130613
"applicable",0.231638353527524,0.233030050480738,0.279188005719334,0.297264225734398,0.218789113382809,0.285084307426587
"law",0.247443820117041,0.277782364096493,0.261617613281123,0.244656938128173,0.22764280885458,0.269579636957496
"agreed",0.260196386487223,0.281182780000381,0.223545969626866,0.2716993405018,0.239183879154734,0.227164298389107
"in",0.279181948583573,0.269665099494159,0.204399998369627,0.2577046551276,0.217140435613692,0.23007001071237
"writing""",0.269791995547712,0.220047611556947,0.208781928475946,0.206107987021096,0.207747217151336,0.264804557408206
"as",0.260775410523638,0.203644143138081,0.281053181411698,0.251028770278208,0.228311962098815,0.270988609339111
"is",0.264774741535075,0.245155961439013,0.287102397670969,0.208076875447296,0.272574901557528,0.2864145596046
"basis",0.223639242374338,0.22356787789613,0.295035078655928,0.249372634594329,0.254963960964233,0.29175808657892
"without",0.204037918010727,0.285439925920218,0.208565722359344,0.231681759748608,0.247348914737813,0.212985383649357
"warranties",0.266521989158355,0.206320326589048,0.207069104793482,0.202360575902276,0.263234487199225,0.244239477044903
"conditions",0.26828294203151,0.260332443588413,0.234131565014832,0.256228632852435,0.249123948509805,0.226551100215875
"any""",0.298998276377097,0.281509477435611,0.208955209539272,0.209890755591914,0.239952033385634,0.276125524914823
"specific",0.270429489808157,0.256351979030296,0.29138517268002,0.211429639649577,0.297523766802624,0.258919527125545
"language",0.222031191177666,0.273113283119164,0.280692996247672,0.21999980295077,0.258222354203463,0.203477395907976
"governing",0.294828950893134,0.259030377375893,0.206034391163848,0.208301294338889,0.279222437390126,0.298150735069066
"permissions",0.227295460063033,0.239060444920324,0.27980059729889,0.235449041961692,0.224223308521323,0.254277825844474
"and",0.257702067447826,0.215556752681732,0.249920095992275,0.20527994397562,0.203425703756511,0.208744040573947
"limitations""",0.234844517684542,0.202537810383365,0.2013262324268,0.246706223627552,0.241527926106937,0.270549387461506
"""",0.139671081234701,0.170225193747319,0.132443546596915,0.104271836904809,0.108225935976952,0.164831944881007
"""""	""import",0.260525931953453,0.26743063502945,0.20690377545543,0.273191699455492,0.25194471818395,0.217617975268513
"orgelasticsearchcommonxcontentxcontentbuilder""",0.295550105976872,0.294661528826691,0.287207122077234,0.212156996689737,0.256551259546541,0.223462894069962
"orgelasticsearchhttphttpexception""",0.227348984358832,0.288234560494311,0.254916796390899,0.298037981893867,0.224286641483195,0.272622951911762
"orgelasticsearchrestreststatus""",0.235337514802814,0.25109757441096,0.279185908846557,0.229380576126277,0.200397529243492,0.242607892607339
"orgelasticsearchrestsupportrestutils""",0.233538288669661,0.247275506425649,0.215030035865493,0.284647733229212,0.291715634334832,0.208329561119899
"orgjbossnettybufferchannelbuffers""",0.261120652593672,0.218194322590716,0.260049005108885,0.258208165201358,0.231140520563349,0.292338036838919
"orgjbossnettychannelchannelfuture""",0.248263704963028,0.293120037158951,0.255103776883334,0.20940281949006,0.203436581604183,0.284899447229691
"orgjbossnettyhandlercodechttp""",0.260862020892091,0.236352949030697,0.291646607313305,0.227423291560262,0.294290460459888,0.283365426259115
"javautillist""",0.224612875026651,0.207323813508265,0.285291429050267,0.275338342017494,0.222156294761226,0.214640938770026
"javautilset""",0.298530526203103,0.20201943195425,0.275684674782678,0.244309095293283,0.277909772773273,0.240213836333714
"javaioprintstream""",0.232938919099979,0.271470999903977,0.271405721921474,0.257649076031521,0.201254902686924,0.247222226276062
"javaiofileoutputstream""",0.283059284649789,0.208445601956919,0.20469511684496,0.256121174176224,0.254948066244833,0.200453736493364
"javaiofilenotfoundexception""",0.268491791863926,0.295137519249693,0.215960899600759,0.279915943881497,0.22507687532343,0.228049443149939
"""""	""public",0.282058033114299,0.289685138966888,0.227473883074708,0.210062785143964,0.272793873143382,0.252262966358103
"class",0.224484166991897,0.25784545945935,0.204901366494596,0.22029430209659,0.240439577912912,0.232399642071687
"nettyhttpchannel",0.22588271764107,0.270235312124714,0.235995472176,0.24900010516867,0.271817871974781,0.256383739574812
"implements",0.260569021874107,0.216783374059014,0.276577671431005,0.265014519076794,0.236655854363926,0.256663935445249
"httpchannel",0.23946336240042,0.208410748001188,0.285138332284987,0.230817656032741,0.227601585374214,0.236746306717396
"""""	""""",0.130499918363057,0.187664039130323,0.109060353040695,0.188190500135534,0.118783840443939,0.112533987616189
"void",0.270987326931208,0.279790902207606,0.297138742497191,0.246269679721445,0.220897821104154,0.290370300412178
"thunoroperatorobject",0.212115058652125,0.292697714571841,0.274899334972724,0.231028851401061,0.208686169981956,0.299621003423817
"amphikaryonsuperexceed""",0.215740422881208,0.209872984024696,0.22326899652835,0.230939971748739,0.297897301055491,0.207472579437308
"static",0.263517309632152,0.288650529040024,0.242389384726994,0.209096476412378,0.289202104927972,0.208607399230823
"bellweedsuperobjection",0.287977246125229,0.211603908753023,0.289987760572694,0.206340782041661,0.270441499189474,0.217156502208672
"implements""",0.229890994913876,0.209964467980899,0.241787841846235,0.282636781455949,0.284863460040651,0.218728769756854
"""""	""ifairwatersupersaturate",0.291370217688382,0.245415890496224,0.261144146486186,0.215500943944789,0.254555526166223,0.262793747568503
"amphikaryonsuperexceed",0.240136971278116,0.202270853193477,0.298446172871627,0.206059119291604,0.225546747259796,0.20255333147943
"""""	""tracertracepointweaknessstartcwe",0.285248150723055,0.292471754248254,0.229900539689697,0.205406546755694,0.266120404191315,0.285547759453766
"a""",0.243717838847078,0.226039425306954,0.219997408636846,0.226665271655656,0.291544957202859,0.280787819251418
"""""	""unchecked",0.230233768210746,0.226785533642396,0.263658490939997,0.202744343876839,0.272277506976388,0.211411102418788
"error",0.23342952542007,0.277584244287573,0.201420055795461,0.206796900648624,0.235332859074697,0.205002553574741
"condition""",0.211956905317493,0.266818398376927,0.246523980703205,0.262495135492645,0.240575235011056,0.239423605822958
"""""	""int",0.219700550846756,0.261401679529808,0.29583788968157,0.292892773612402,0.206577538396232,0.245479587349109
"stonesouparr",0.268907638732344,0.239886531769298,0.280591970821843,0.205535625689663,0.280922341928817,0.254640391725115
"null""",0.287913230853155,0.229157641832717,0.291588549292646,0.255270015029237,0.285985786444508,0.289136102749035
"""""	""tracertracepointvariableintsize""",0.288546153577045,0.277707997732796,0.285517508047633,0.288656609039754,0.205268342420459,0.226294183637947
"""""	""integer",0.25777452478651,0.244309696508572,0.292153268051334,0.252343550347723,0.203522320487536,0.211708366102539
