"","V1","V2","V3","V4","V5","V6"
"""""	""",0.114205673895776,0.130471649114043,0.111814788077027,0.135549278417602,0.153818962187506,0.149076708639041
"buffered",0.23296599497553,0.235866191075183,0.240217404137366,0.247912518167868,0.248205622914247,0.271495119063184
"io""",0.253215848165564,0.253201537090354,0.231349848769605,0.274904051003978,0.239246884826571,0.246918630716391
"""",0.194994887826033,0.193046631803736,0.111633330327459,0.102774396585301,0.190239372709766,0.191597732435912
"modify",0.269970841216855,0.20843746419996,0.285460179601796,0.248177660675719,0.2858275530627,0.229778498481028
"it",0.238720507803373,0.224350257916376,0.265777714038268,0.219241323694587,0.231059432122856,0.233712712465785
"under",0.297740403469652,0.228487827442586,0.252687972714193,0.256125498982146,0.2315046438016,0.276739574642852
"the",0.292386065633036,0.276306378678419,0.260161056742072,0.231408195872791,0.275195078272372,0.298007449530996
"terms",0.26571616625879,0.288020670320839,0.251813735277392,0.217516978178173,0.257923191483133,0.290173226571642
"of",0.293602068978362,0.286275984696113,0.296910723648034,0.261880301777273,0.266270121070556,0.242510918225162
"gnu",0.272783936280757,0.263641131436452,0.20983386982698,0.275664982013404,0.235702152433805,0.256340411165729
"lesser",0.247539352462627,0.288778441771865,0.260705813602544,0.297397962585092,0.249052958632819,0.24150031125173
"general",0.255802880437113,0.272612758725882,0.268990549398586,0.298486039112322,0.228539878339507,0.252074263547547
"public""",0.274296493711881,0.233790366793983,0.296321871946566,0.211833746661432,0.265580903040245,0.229742609290406
"version",0.234186170389876,0.235202242108062,0.24826068864204,0.259424178022891,0.256975055718794,0.205436948873103
"license",0.259644918027334,0.268273953534663,0.296221569599584,0.288395889406092,0.26844899491407,0.260214831586927
"or",0.21469101109542,0.209894744073972,0.248037267546169,0.203960288176313,0.255348408152349,0.262045521545224
"at",0.294867741968483,0.258061238238588,0.275536871096119,0.204836603393778,0.241130751045421,0.279127715271898
"your",0.24201024142094,0.247593540302478,0.20169148768764,0.227655784622766,0.274773224513046,0.210651689814404
"option",0.261623785225675,0.238202930428088,0.205224086437374,0.23679143039044,0.210786812473089,0.220476214913651
"any",0.212450992385857,0.280719294096343,0.280287272320129,0.261004527681507,0.242182429693639,0.275090528326109
"later",0.253891879855655,0.228105926467106,0.298928188928403,0.241340937721543,0.21976782262791,0.260214996687137
"version""",0.249640694702975,0.264368746359833,0.289168255589902,0.264251435827464,0.25860553747043,0.233365270425566
"ffmpeg",0.29918747919146,0.296813887567259,0.225818612729199,0.224835170991719,0.269452497619204,0.216309187444858
"is",0.295272549637593,0.294472616398707,0.295974818384275,0.293637640099041,0.298948575602844,0.222122189844958
"distributed",0.202500148490071,0.232743534725159,0.294021608354524,0.280777925346047,0.286826081271283,0.294349375693127
"in",0.223373192618601,0.219473087112419,0.224239835608751,0.258353077853099,0.2349201410776,0.249661657586694
"hope",0.282597031234764,0.241689801984467,0.204141451814212,0.21763606290333,0.213277878379449,0.298661721940152
"that",0.221529037877917,0.277992872078903,0.245758822932839,0.284090283070691,0.227073622052558,0.20005097144749
"will",0.211602302221581,0.27762926784344,0.273911738279276,0.286478707613423,0.26027405585628,0.223554013855755
"be",0.285457890876569,0.206052230438218,0.273127797897905,0.243555462849326,0.265998367290013,0.269932516315021
"useful""",0.287026030337438,0.25676667552907,0.258063702168874,0.2979218211025,0.244987744512036,0.206239318684675
"merchantability",0.282979087578133,0.281637409608811,0.231148360576481,0.267550106416456,0.231517664436251,0.262226536311209
"fitness",0.268602309259586,0.201019811374135,0.239443662972189,0.290689629479311,0.267358083743602,0.299985866621137
"for",0.277608375740238,0.231457562558353,0.245205518091097,0.299096538498998,0.291107230004855,0.267998477816582
"a",0.233300534705631,0.286372547177598,0.262972230440937,0.209143427293748,0.296305614500307,0.250712960772216
"particular",0.298111123451963,0.266941107180901,0.297273899964057,0.253725772001781,0.269057762250304,0.291978277242743
"purpose",0.280804647295736,0.279218447231688,0.291401923564263,0.265855296840891,0.208075384539552,0.279303670441732
"see",0.236999412300065,0.246357265440747,0.280198331619613,0.260354081448168,0.252913635084406,0.23131591945421
"gnu""",0.220962404110469,0.277508384501562,0.287508858065121,0.294866852322593,0.284319701208733,0.208198286406696
"along",0.274828231683932,0.24630502096843,0.290723745687865,0.226601120457053,0.267602619039826,0.237354412744753
"with",0.266751348273829,0.23091866960749,0.204898383957334,0.252628395939246,0.256692444672808,0.213682441134006
"if",0.286858388129622,0.271283139521256,0.265131611400284,0.289376660785638,0.267231729975902,0.235733049176633
"not",0.227523973910138,0.288527500233613,0.245976984058507,0.234941147826612,0.273641492030583,0.249861498363316
"write",0.24948945841752,0.220016186707653,0.282160890381783,0.217847156734206,0.254554599197581,0.282556278211996
"to",0.208566854288802,0.294980270392261,0.281608274532482,0.254794095945545,0.299736838671379,0.276671856804751
"free",0.282258445443586,0.258529871329665,0.24057619436644,0.263850477780215,0.265708269737661,0.241136120818555
"software""",0.280132349929772,0.276427560788579,0.248928369418718,0.272492009587586,0.257486617518589,0.226660660561174
"""""	""include",0.273279784386978,0.269792484561913,0.232830853573978,0.23759457138367,0.254077174304984,0.24959019171074
"libavutildicth""",0.294143532193266,0.239583986392245,0.280656033242121,0.241834945068695,0.286354761454277,0.22073456288781
"libavutillogh""",0.218995544780046,0.209775122720748,0.267835684609599,0.285602078679949,0.258383281249553,0.249349867831916
