"","V1","V2","V3","V4","V5","V6"
"""""	""",0.121885036188178,0.177158078295179,0.121928684436716,0.16993267335929,0.195105559448712,0.18254240679089
"copyright",0.248835970205255,0.206987485475838,0.250898793456145,0.231889590341598,0.242286552558653,0.270711929560639
"c",0.167839698679745,0.194708112766966,0.194437482301146,0.152629803679883,0.130156192323193,0.109990862617269
"spencer",0.220439637592062,0.293125576153398,0.265189070953056,0.252854721830227,0.236016822978854,0.278491123439744
"kimball",0.243871200107969,0.267900396580808,0.261344375694171,0.285803747409955,0.280905398260802,0.285852115764283
"and",0.252557531907223,0.206419419683516,0.28065799777396,0.28807889027521,0.264297721441835,0.287077916669659
"peter",0.292363418126479,0.265681602898985,0.209557962534018,0.205622163065709,0.297248439653777,0.205077883577906
"mattis""",0.260775118530728,0.246996390656568,0.209116708976217,0.266583281941712,0.294481556606479,0.278313240781426
"gimpactiongroupc""",0.209682454774156,0.206343003455549,0.245733160199597,0.203684811200947,0.288935584924184,0.211229724925943
"""",0.141066655260511,0.167024197336286,0.109944265615195,0.153884695819579,0.170067959744483,0.178678965661675
"it",0.229971109703183,0.210292946291156,0.223162824427709,0.280144172068685,0.257105400785804,0.210526778129861
"under",0.233561666379683,0.253299286914989,0.267948554293253,0.210256292321719,0.238950157002546,0.232705991901457
"the",0.235320334648713,0.253761823102832,0.256971556972712,0.218150170845911,0.235953520354815,0.2400405802764
"terms",0.272329618642107,0.254439565073699,0.293369811563753,0.29936863926705,0.246861759363674,0.203906090371311
"of",0.290536814997904,0.281652526557446,0.258394693816081,0.266685662628151,0.234944576816633,0.234074626048096
"gnu",0.268743269378319,0.271037194994278,0.280223793210462,0.273757820064202,0.267879505432211,0.290587907168083
"general",0.272126731113531,0.246960403164849,0.238293533097021,0.21453498096671,0.260018156445585,0.205094425519928
"public",0.208924740226939,0.287109061027877,0.213349180598743,0.208638761891052,0.201495896140113,0.246990628959611
"license",0.200823016557843,0.29584271106869,0.239406134840101,0.278308741771616,0.247686799895018,0.23689595349133
"as",0.215860809059814,0.209089188557118,0.217559815407731,0.278437069011852,0.244259576546028,0.227889951271936
"published",0.238319611526094,0.217045252816752,0.277646649372764,0.207332206098363,0.268865327257663,0.235103505966254
"by""",0.197388946637511,0.161781230103225,0.180439408519305,0.110780677176081,0.12725161688868,0.166510188975371
"at",0.275228863907978,0.285692535620183,0.215262124757282,0.277277138154022,0.261734715593047,0.258082168549299
"your",0.250177546124905,0.222055406286381,0.297456674347632,0.24474909461569,0.230621485644951,0.238273614668287
"option",0.282518462417647,0.282674750685692,0.283742277696729,0.263284524716437,0.265239553293213,0.227840906428173
"any",0.252188060223125,0.204707339056768,0.238321204460226,0.272987606958486,0.229728873772547,0.251150250155479
"later",0.295530771650374,0.206791666196659,0.223499151109718,0.208804908697493,0.215507741644979,0.285246654693037
"version""",0.294450238463469,0.252827659645118,0.272975323628634,0.232874868460931,0.206006255722605,0.267033534566872
"this",0.260417185141705,0.226397113944404,0.224053736263886,0.293825157778338,0.272449442278594,0.221890247426927
"program",0.290509975538589,0.213158706109971,0.228363883448765,0.293502562213689,0.210516574163921,0.2417568014469
"is",0.244168522721156,0.212856637546793,0.247356355399825,0.291931196278892,0.209929526690394,0.223232741164975
"distributed",0.25714738953393,0.270610330300406,0.20200786376372,0.282589337765239,0.215768829057924,0.284394140681252
"in",0.206157217710279,0.203643922507763,0.240767119848169,0.212928554811515,0.296715430472977,0.22637085346505
"hope",0.258353594620712,0.207008861494251,0.250676997727714,0.207643490913324,0.250201546680182,0.292586469696835
"that",0.24600442070514,0.23468245852273,0.271314464928582,0.246653624414466,0.206778632639907,0.220363113796338
"will",0.295146581344306,0.29160873782821,0.261675201985054,0.208550202473998,0.207757663866505,0.201114543993026
"be",0.212161271949299,0.226326137292199,0.23551808190532,0.247858137986623,0.22279145673383,0.227559617417865
"useful""",0.201897978270426,0.226740533928387,0.226996555784717,0.260355591424741,0.22021939989645,0.273457690910436
"merchantability",0.236999246058986,0.294601341732778,0.217431049561128,0.242451188410632,0.243068733601831,0.262805221485905
"or",0.242887775367126,0.279432771587744,0.235294030979276,0.226984207006171,0.264457791182213,0.26577122840099
"fitness",0.269217638275586,0.278479344863445,0.274536658497527,0.260342413792387,0.20913222739473,0.201084441924468
"for",0.208373259752989,0.214812547969632,0.207011148217134,0.226101009408012,0.279673038958572,0.256293057091534
"a",0.214599320385605,0.299242430133745,0.207875936548226,0.228458361118101,0.231074827560224,0.20241874710191
"particular",0.250970276235603,0.281729463068768,0.271282517467625,0.248284529126249,0.245344426226802,0.288310197251849
"purpose",0.242702119681053,0.217591004190035,0.24452377690468,0.217251227982342,0.229247372807004,0.244718179199845
"see",0.208106277743354,0.269687132001854,0.24901783852838,0.259388392535038,0.213127495441586,0.292480876576155
"the""",0.224367932416499,0.200270524132065,0.232608966180123,0.26016099601984,0.259405679861084,0.26705558213871
"along",0.268281105160713,0.261029289872386,0.26913423629012,0.228586357366294,0.29536330527626,0.29206237399485
"with",0.279571841284633,0.238526365952566,0.298435547784902,0.282837191596627,0.284132547932677,0.249339776439592
"if",0.299779434734955,0.269452860252932,0.22057956373319,0.277108185645193,0.210284276586026,0.20533047739882
"not",0.215791563643143,0.264347561751492,0.217607493954711,0.289691663812846,0.222501988895237,0.255842994502746
"httpwwwgnuorglicenses""",0.235809314227663,0.241643144795671,0.222771319118328,0.286563864164054,0.267537638777867,0.223508875700645
"""""	""include",0.267536109685898,0.210752113861963,0.231290563731454,0.235996192181483,0.209739911463112,0.258000883413479
"configh""",0.226296219113283,0.264133606827818,0.250045102951117,0.259809248358943,0.293313647527248,0.288220378360711
"libgimpbasegimpbaseh""",0.204889752389863,0.204097890481353,0.278865506500006,0.206627308041789,0.266999384271912,0.285864957957529
"widgetstypesh""",0.266772528761066,0.222727637575008,0.279843336180784,0.282427851809189,0.226759251160547,0.206585976900533
"coregimpviewableh""",0.27479140595533,0.264217032631859,0.294638865673915,0.253367580845952,0.205707041081041,0.292134951427579
"gimpactionh""",0.288045116094872,0.290972842252813,0.25236390340142,0.218365387362428,0.226463112002239,0.251554769440554
"gimppluginactionh""",0.224925650213845,0.25810995621141,0.299363956158049,0.229290565778501,0.243584398925304,0.297060338617302
"gimpstringactionh""",0.209986265632324,0.265567703917623,0.216319059138186,0.212061428814195,0.243186734779738,0.297442193562165
"gimpintlh""",0.24259116393514,0.272995016165078,0.272229527286254,0.200736779463477,0.299540295894258,0.225422342540696
"sysstath",0.266826969617978,0.292073853849433,0.208934246888384,0.208406223868951,0.214113611564972,0.236320801568218
"""""	""enum",0.24256009075325,0.21492232424207,0.266029042797163,0.299910378805362,0.265440572286025,0.295904744439758
"anonymousxfa",0.244314401224256,0.286764500918798,0.255307565978728,0.290686653042212,0.288376449304633,0.292539153457619
"proppropgimpproplabelpropstockid",0.250669295666739,0.21624436059501,0.247705535870045,0.257173135154881,0.298912982805632,0.251458866335452
