"","V1","V2","V3","V4","V5","V6"
"permitall",0.488337349728681,0.481501828623004,0.453581637423486,0.46636161172064,0.489487770351116,0.461271080246661
"exe",0.482952709321398,0.46854990812717,0.450129877729341,0.493713743332773,0.466240029223263,0.494063326378819
"select",0.474647454067599,0.4912306648097,0.459465998399537,0.480442311998922,0.485168205411173,0.477401140553411
"access",0.466475432366133,0.48608535596868,0.455060689523816,0.490900235751178,0.498393084236886,0.464530253061093
"allowhtml",0.469884839688893,0.488688366941642,0.454852950724307,0.489590263005812,0.499123330949806,0.466699972492643
"update",0.450305635260884,0.48184289613273,0.465012334194034,0.472863838006742,0.472586653393228,0.456368740159087
"pattern",0.459960715740453,0.488738544587977,0.465000245405827,0.455882258922793,0.468159192323219,0.453929123224225
"from",0.470293912140187,0.4588420529617,0.482710089324974,0.470467654697131,0.491966249747202,0.479011484724469
"gets",0.487183459114749,0.4765276541817,0.457149034552276,0.45579370749183,0.461223429895472,0.493870522407815
"strcmp",0.479249364929274,0.45494782255264,0.468056814139709,0.48455396941863,0.474669517588336,0.46250738207018
"regex",0.467376732383855,0.473134644457605,0.480045118741691,0.450040074577555,0.466350244206842,0.491500896506477
"process",0.472776578727644,0.467567231261637,0.450187642429955,0.475694754265714,0.451061645918526,0.469317735917866
"hash",0.453890045254957,0.477511747111566,0.488772543775849,0.498203903168906,0.470865340239834,0.468334072944708
"strcat",0.452424575353507,0.472140959231183,0.473203078482766,0.466376401344314,0.46165262964787,0.46500221544411
"strcpy",0.463745691638906,0.460921461984981,0.487114644073881,0.494252706679981,0.483844171860255,0.49908589750994
"digest",0.483373545366339,0.465131287602708,0.463505125918891,0.472802270960528,0.486496214696672,0.46591021012282
"diagnostics",0.480277531337924,0.492937520996202,0.4730334964348,0.482107473933138,0.469482101919129,0.476660496834666
"password",0.493762481084559,0.476786915876437,0.496978899999522,0.487755874590948,0.466477905842476,0.497549854964018
"array",0.481803288974334,0.492354195832741,0.455222421477083,0.456269713537768,0.463577109586913,0.498663364595268
"equal",0.495530137838796,0.45846703244606,0.482791635720059,0.498180125618819,0.48472220832482,0.49931669664802
"index",0.472572394961026,0.487247743585613,0.450086037290748,0.480570176860783,0.483953773230314,0.494400330528151
"final",0.474753768171649,0.485727249295451,0.488376602367498,0.483787928509992,0.459810160065535,0.450719608378131
"readobject",0.454888265836053,0.471218824328389,0.465614531794563,0.460199467011262,0.492432273516897,0.475734218605794
"byte",0.490095420426223,0.4978106983006,0.498520633531734,0.471511384181213,0.455670329928398,0.489218487974722
"buffer",0.491279364493676,0.481207148090471,0.481371876574121,0.487026292528026,0.490662403719034,0.491240215697326
"user",0.498069389420562,0.499262920476031,0.455205398914404,0.474631567322649,0.485016909230035,0.454238780983724
"logged",0.462307235668413,0.467704324494116,0.469633720838465,0.490672481362708,0.473633250244893,0.451717463415116
"cmd",0.4904098577681,0.481917676480953,0.469573132914957,0.478284027753398,0.468269722280093,0.483987688622437
"name",0.484036076336633,0.468815825216007,0.487510908185504,0.46122090673307,0.459455654444173,0.480521770776249
"sendattack",0.461271803732961,0.476354429696221,0.457438797526993,0.472270162822679,0.46372344448464,0.483664289617445
"command",0.463397006795276,0.47909188780468,0.478991420578677,0.475320544582792,0.46444066503318,0.472041044128127
