"","V1","V2","V3","V4","V5","V6"
"""""	""",0.123342106910422,0.100216424744576,0.136778720095754,0.154208081401885,0.115858662175015,0.176150840939954
"rcsfile""",0.277964150998741,0.209801540803164,0.284335871250369,0.213845164934173,0.273104770947248,0.297094735619612
"date",0.246517714043148,0.232965579559095,0.288959332345985,0.202474721940234,0.269460654514842,0.219140027789399
"wed",0.270477562677115,0.220984730822966,0.218654168071225,0.285362241463736,0.287293145549484,0.214395045535639
"aug",0.247734044026583,0.220268608024344,0.292571574705653,0.280856112181209,0.294548814510927,0.223804990528151
"""",0.180068786814809,0.197498538414948,0.132352874800563,0.123214153782465,0.119102615956217,0.108017787593417
"copyright",0.22572895407211,0.211308471811935,0.283534110430628,0.241151056042872,0.281180254649371,0.229505801713094
"c",0.196681109443307,0.134270387375727,0.174606292904355,0.106280995393172,0.108297706767917,0.143727594427764
"jive",0.205661836918443,0.2225876549026,0.248910185229033,0.272468524472788,0.229718846827745,0.275052803941071
"software",0.266095635993406,0.290071965241805,0.265455248905346,0.247301237261854,0.21074394970201,0.243677547876723
"all",0.266265442455187,0.201034851185977,0.222859089821577,0.201731182611547,0.264964242628776,0.298943844158202
"rights",0.231315438984893,0.231564715388231,0.273327644099481,0.248425541259348,0.22670715409331,0.272791966446675
"reserved""",0.295311237149872,0.239690317749046,0.281642717006616,0.282713594264351,0.233825977263041,0.214713156409562
"this",0.299515670863912,0.285593621060252,0.2896461579483,0.294744158582762,0.268321720254607,0.271778185805306
"is",0.257478753942996,0.265060477750376,0.200370041816495,0.254433580348268,0.28119432691019,0.249637929536402
"published",0.243601881689392,0.287975377123803,0.284312550071627,0.208252114919014,0.241466977354139,0.289674671017565
"under",0.209271409921348,0.251245194184594,0.220832832530141,0.252397023537196,0.223124782415107,0.204773881239817
"the",0.26128591070883,0.235345204151236,0.223655452951789,0.235052196937613,0.223210647609085,0.200475820247084
"terms",0.294033259269781,0.215529924514703,0.248137974110432,0.239187429263256,0.223900808952749,0.253992216661572
"of",0.256777454447001,0.296076232101768,0.209364978387021,0.211163696134463,0.297744811140001,0.244894699566066
"gnu",0.248059618123807,0.26166970776394,0.2902818945935,0.218780327192508,0.255207938491367,0.294197411951609
"public",0.28879795409739,0.234873386542313,0.288958186795935,0.227512340713292,0.287341212294996,0.264676722511649
"license",0.25769583589863,0.214120877766982,0.282284728577361,0.293428500904702,0.236679775849916,0.282832368207164
"gpl""",0.16356336241588,0.143246523546986,0.172100981744006,0.150489278859459,0.159991038474254,0.153166502690874
"agreement",0.245332388090901,0.219972678320482,0.275707506504841,0.293158357660286,0.291178123140708,0.289960557268932
"with",0.287384184356779,0.216537741548382,0.205480064894073,0.268323698546737,0.203378099575639,0.250381040084176
"jive""",0.221667488571256,0.286481626378372,0.216550531913526,0.280469167651609,0.276145806629211,0.262329205544665
"""""	""package",0.269541082764044,0.205868196580559,0.29522663038224,0.278188364300877,0.203794835950248,0.206500638206489
"orgjivesoftwareopenfirehandler""",0.256364010344259,0.200725141423754,0.293128002854064,0.284324276517145,0.207215295243077,0.254621620639227
"""""	""import",0.262532356777228,0.228264838876203,0.222479908168316,0.20636249401141,0.270838083233684,0.264895089156926
"orgdomjelement""",0.216575835668482,0.28976058086846,0.204122442984954,0.290834871772677,0.227128898352385,0.280819568084553
"orgjivesoftwareopenfire""",0.249370929296128,0.299856496299617,0.27924749054946,0.217159465095028,0.274698953912593,0.296341081196442
"orgjivesoftwareopenfireeventsessioneventdispatcher""",0.21533967142459,0.234367944695987,0.236296466528438,0.200389042054303,0.202225541532971,0.217359330691397
"orgjivesoftwareopenfiresessionlocalclientsession""",0.25241012268234,0.229147814540192,0.242026398493908,0.283884862135164,0.244147253548726,0.271158860996366
"orgjivesoftwareopenfireuserusermanager""",0.267883719666861,0.287734388536774,0.296907007694244,0.262348150624894,0.20573742412962,0.272144042840227
"orgjivesoftwarestringprepstringprepexception""",0.222614722885191,0.218489013495855,0.29285396062769,0.236162319476716,0.223007565131411,0.23426406076178
"orgjivesoftwareutillocaleutils""",0.255880297906697,0.237155826995149,0.217783062555827,0.219045027461834,0.292942372639663,0.246224716352299
"orgxmpppacketiq""",0.280271536414512,0.21407693810761,0.28236632279586,0.22815376073122,0.217872759280726,0.284081507660449
"orgxmpppacketpacketerror""",0.271186078735627,0.208836127258837,0.273199163679965,0.254193805786781,0.207982852496207,0.274552942020819
"javautilarraylist""",0.252747253980488,0.25766686971765,0.289009816991165,0.273223783960566,0.262900984520093,0.27465022013057
"javanetunknownhostexception""",0.272300629550591,0.222837188304402,0.204917065287009,0.228920129034668,0.210085746669211,0.225702615012415
"implements",0.221481505152769,0.265338289504871,0.279026543698274,0.252212390676141,0.273552403668873,0.26932372697629
"typeiq",0.206206340785138,0.285629848297685,0.233921534731053,0.298150704451837,0.237202921230346,0.243079892918468
"jabberiqauth",0.266041940357536,0.234331493428908,0.27574146585539,0.261281417030841,0.223251862055622,0.240732382470742
"protocol",0.264629129855894,0.282716715661809,0.25084144428838,0.241127282357775,0.267523655015975,0.226877851923928
"plain",0.290386351267807,0.257208957057446,0.248222701111808,0.234451122861356,0.256160574126989,0.268040200229734
"only",0.26371522161644,0.227949816128239,0.29026009850204,0.28185941237025,0.275425736536272,0.281136856647208
"clients""",0.227403913973831,0.267420301074162,0.245977541664615,0.207347740256228,0.221338858269155,0.276066754385829
"runs",0.259275478776544,0.256034630653448,0.289308918267489,0.298536021192558,0.26018591162283,0.251478604739532
"an",0.220465140650049,0.269157568155788,0.29407734121196,0.201637159078382,0.255982573656365,0.225692071928643
"authentication",0.295237072254531,0.221519354265183,0.284104154398665,0.209648879989982,0.201010042219423,0.26683462089859
"probe",0.272437623562291,0.298277532239445,0.279606569930911,0.249258267879486,0.267624143883586,0.200169510231353
"a",0.211236869450659,0.23599479442928,0.26282433134038,0.22650663042441,0.252808456635103,0.293686164403334
"given",0.283365073497407,0.281607037433423,0.218203770602122,0.207469184766524,0.242777045071125,0.204272408876568
"user",0.247510493570007,0.20985741741024,0.292911761277355,0.273502009781078,0.206443439074792,0.277201262675226
"name",0.236507462686859,0.2255865593208,0.2051653733477,0.264334234292619,0.200011964328587,0.267579918541014
"return",0.241861837799661,0.226642564381473,0.221178258187138,0.215099667920731,0.251044586580247,0.298909329157323
"the""",0.288641652907245,0.202414693706669,0.243822886771522,0.292614783556201,0.259352202597074,0.241327405138873
"registered",0.276459063589573,0.247568021877669,0.290070639853366,0.2091150079621,0.246953199291602,0.249317836225964
"on",0.22795859912876,0.299253203766421,0.229387328680605,0.292931532976218,0.235567347356118,0.208028493216261
"serverp""",0.2957014312502,0.239638184010983,0.217071775859222,0.205439989338629,0.276758854952641,0.280912488955073
"set",0.202119060186669,0.248872794536874,0.28496144041419,0.245801643189043,0.224248553183861,0.287103364849463
"query",0.290192183828913,0.257869335194118,0.296642542956397,0.276453951047733,0.262404404394329,0.272692217538133
"authenticates",0.261227705073543,0.262503475532867,0.238857921818271,0.219749829219654,0.232519981078804,0.222417809558101
"information",0.289412629092112,0.239920435636304,0.252982176165096,0.28241670653224,0.263035360840149,0.254603921459056
"in",0.236320271110162,0.27257414162159,0.221041797380894,0.205453918292187,0.251340939011425,0.248324501840398
"using",0.243089848035015,0.206411671778187,0.249783435626887,0.271451040962711,0.231919001345523,0.279753196588717
"query""",0.292636453104205,0.215146770863794,0.217097564064898,0.260016168886796,0.289447658346035,0.233307535736822
"hassumptionsh""",0.254937958414666,0.275436123716645,0.29432268848177,0.239224906801246,0.219173306552693,0.295718974689953
"appropriate",0.251102240546606,0.259574710624292,0.288840134022757,0.216498455242254,0.207437719288282,0.289243307989091
"tag",0.289238663157448,0.283428615890443,0.227570837084204,0.254494293034077,0.21301844464615,0.289145572693087
"matcher",0.24744327054359,0.277855994086713,0.223244068934582,0.291100516263396,0.211589617095888,0.246185305551626
"should",0.258691367506981,0.298005436477251,0.210850503668189,0.204033159231767,0.204239654168487,0.2906659059925
"be",0.271044530370273,0.230271213059314,0.283395542972721,0.232444697804749,0.29058776225429,0.293615317810327
"placed",0.247655709926039,0.270930695929565,0.290205145883374,0.23486745278351,0.29770052281674,0.298661948624067
"front",0.239129609148949,0.213190416293219,0.251315687503666,0.203634036635049,0.232632001466118,0.299141263379715
"this""",0.246456457627937,0.249734189501032,0.245478490530513,0.2091090754373,0.223641540994868,0.216219805646688
"another",0.295311358734034,0.258492936426774,0.219185135490261,0.260109944152646,0.207404948910698,0.251131967594847
"channel",0.299721732432954,0.252641015034169,0.275717024924234,0.241419534082524,0.2668999588117,0.222424173750915
"probably",0.218108675256372,0.269253375031985,0.242226571054198,0.295705356867984,0.228549567540176,0.202348902961239
"for",0.255121623375453,0.21019037917722,0.24073530761525,0.233597732335329,0.233529588137753,0.29414047843311
"direct",0.261798221850768,0.200167341157794,0.259648367715999,0.230590936844237,0.243204319640063,0.291206464264542
"delivery",0.205396409868263,0.243670144770294,0.288512144447304,0.267815931956284,0.207499189395458,0.262521041254513
"to",0.282354498771019,0.259347802400589,0.229394185985439,0.213286801567301,0.222994695859961,0.248422943660989
"recipient""",0.243475332017988,0.298978462256491,0.294322029943578,0.297317058080807,0.24711698575411,0.276575794932432
"author",0.289170027826913,0.276065556611866,0.209463149262592,0.27454078013543,0.202993465284817,0.216733508463949
"iain",0.201090460480191,0.243669335544109,0.208239638921805,0.299656903580762,0.270088821370155,0.27508044897113
"shigeoka""",0.288181273220107,0.258174933097325,0.29459169479087,0.210932810907252,0.236690445384011,0.251293591968715
"""""	""public",0.258456201129593,0.209203319856897,0.221148671023548,0.244169631926343,0.238003415917046,0.204488043789752
"class",0.213654457521625,0.237697024829686,0.219829575461335,0.223158713965677,0.230650542979129,0.274388793809339
"iqauthhandler",0.221209453814663,0.26539791515097,0.254646677756682,0.204187548719347,0.293789215991274,0.274661602731794
"extends",0.263438394502737,0.227657368127257,0.262363389972597,0.213713437831029,0.266442775982432,0.21518679857254
"iqhandler",0.27749838475138,0.246056998823769,0.226476342463866,0.277340285037644,0.222362978453748,0.288984577171504
"iqauthinfo",0.288422513986006,0.233465622365475,0.284932158677839,0.258926896308549,0.207508495403454,0.268996417406015
"private",0.208047099760734,0.265972309396602,0.276803459296934,0.261913996539079,0.21453194078058,0.283085391158238
"element",0.235131871770136,0.22026542108506,0.251540680066682,0.246658756304532,0.235947612440214,0.249635626282543
"proberesponse""",0.247807861119509,0.224478487949818,0.274245756096207,0.230201044748537,0.221451387833804,0.21534790918231
"string",0.276072676619515,0.290393175580539,0.289699154999107,0.235593458497897,0.287432100553997,0.228305011987686
"servername""",0.239697908470407,0.226670262403786,0.273520537256263,0.215006891149096,0.29600503037218,0.225618586386554
"routingtable",0.267729424755089,0.22711964729242,0.236988009558991,0.244865306280553,0.234127722075209,0.289545460278168
"routingtable""",0.232916996185668,0.257885380345397,0.24486811007373,0.207968420209363,0.235019986168481,0.271980513352901
"clients",0.229241055157036,0.219802007661201,0.220227888063528,0.273901073494926,0.251693531265482,0.246372440690175
"are",0.291048986813985,0.214724544505589,0.246023357706144,0.215268752910197,0.221135528758168,0.287846582941711
