"","V1","V2","V3","V4","V5","V6"
"""""	""",0.146186453476548,0.10160380541347,0.164825009834021,0.108869385719299,0.151986341038719,0.121652142773382
"""",0.167777040880173,0.138525417656638,0.191550915758125,0.104205545387231,0.128689346392639,0.117742689303122
"modification",0.2949919243576,0.299305291473866,0.201010495168157,0.263262107805349,0.210627331701107,0.255381344119087
"are",0.270146549725905,0.285933618363924,0.247284090030007,0.258350266586058,0.239967129635625,0.284572588140145
"permitted",0.234096972225234,0.227103098412044,0.240295970905572,0.239198882342316,0.239444626774639,0.202050125575624
"provided",0.207659604004584,0.257613501162268,0.285256254393607,0.284731403295882,0.220859904144891,0.235620537865907
"that",0.282491227122955,0.204889734438621,0.288482772139832,0.287690110574476,0.278509782138281,0.286892134835944
"the",0.293094278383069,0.287618022528477,0.270159316598438,0.28022700836882,0.270045322948135,0.2772967051249
"following",0.218899059249088,0.213328031310812,0.271915324800648,0.282127097202465,0.241316194809042,0.282818681048229
"conditions""",0.218084662803449,0.299093028018251,0.232466171612032,0.269129892974161,0.206002053944394,0.202278502495028
"notice",0.200556121463887,0.2679423160851,0.250602726335637,0.295058258506469,0.260613868874498,0.293755111191422
"this",0.268479767278768,0.21560041278135,0.282780141197145,0.288075567502528,0.210721424478106,0.271296392241493
"list",0.203641493269242,0.283029283815995,0.28728541538585,0.229537491407245,0.265020881057717,0.292507535032928
"of",0.23623752114363,0.202878939732909,0.207502103201114,0.278143890481442,0.206559622846544,0.204741728492081
"conditions",0.291361874644645,0.269079484976828,0.297288345964625,0.280936375795864,0.254403963359073,0.286419022572227
"and",0.243048807349987,0.240775085426867,0.230453520151786,0.286999560100958,0.262287978432141,0.201251513627358
"disclaimer",0.278206799575128,0.297551356814802,0.282917636283673,0.235152616351843,0.244817643542774,0.280646365904249
"redistributions",0.295142079074867,0.236562262498774,0.286422857176513,0.285852416465059,0.246949732629582,0.292273147613741
"in",0.214228417817503,0.244568988960236,0.225054996367544,0.222984488122165,0.206541158794425,0.258876656764187
"binary",0.282588966446929,0.226633068127558,0.284787388215773,0.231652369629592,0.292826377763413,0.254701808863319
"form",0.231327114719898,0.233757649059407,0.230018284078687,0.206756535335444,0.227372040576302,0.296841843542643
"must",0.273770659929141,0.297698327386752,0.274985524313524,0.250770524446852,0.288760870997794,0.22589960640762
"reproduce",0.277989710518159,0.216083859908395,0.233614968694746,0.218447095388547,0.233074851171114,0.264930027676746
"above",0.204097058088519,0.221227173367515,0.225565980584361,0.262901205592789,0.22844412883278,0.202188203250989
"copyright""",0.280559706012718,0.281909567560069,0.253662324254401,0.208012846927159,0.219259910401888,0.293963596387766
"documentation",0.280092119239271,0.247591145522892,0.282653165678494,0.284204361913726,0.268362331134267,0.219850507890806
"andor",0.233239857247099,0.29016063308809,0.217055250378326,0.266788597218692,0.284648492746055,0.226173877716064
"other",0.244963229238056,0.240817544981837,0.243906925595365,0.233643051423132,0.20592684650328,0.226442893943749
"materials",0.265873515885323,0.202831738628447,0.266025819373317,0.284894194174558,0.231635244935751,0.251838115719147
"with",0.263666921202093,0.295833273464814,0.291739138960838,0.231821704818867,0.276451025577262,0.232842964096926
"the""",0.240555132715963,0.293356460775249,0.275713936472312,0.28067785250023,0.290695836767554,0.261157650523819
"software",0.274500208324753,0.275981942517683,0.294968903507106,0.249472840433009,0.233617543708533,0.285057383752428
"display",0.290832401299849,0.204663044330664,0.229050143132918,0.279478460969403,0.202424787660129,0.245100735523738
"acknowledgment""",0.284404585976154,0.233109300793149,0.219644986488856,0.259374240529723,0.20812702390831,0.251852568075992
"endorse",0.207451924029738,0.252093790890649,0.270514856069349,0.254236131440848,0.20770635548979,0.251901983306743
"or",0.20103451074101,0.260948598501272,0.263371963007376,0.201625983556733,0.247659543412738,0.214431580738164
"promote",0.256871048081666,0.210056461184286,0.284563030186109,0.216926519665867,0.209224407817237,0.285784862167202
"products",0.299364981194958,0.282014310103841,0.292228401172906,0.208759526815265,0.209864784567617,0.293213402130641
"derived",0.284719938132912,0.261733803665265,0.220242558722384,0.229548408393748,0.263336505182087,0.230923094064929
"from",0.257210458396003,0.21504950162489,0.209148671431467,0.286652404628694,0.21479462669231,0.249327011941932
"without""",0.250918971537612,0.288430952373892,0.216983492998406,0.216356624173932,0.224747590324841,0.207026931457222
"opensslcoreopensslorg""",0.245542345452122,0.232695081550628,0.225843167933635,0.240860192407854,0.281445466424339,0.247567071509548
"may",0.277969757374376,0.255442532501183,0.205659448262304,0.224928408069536,0.274235527939163,0.281880592927337
"not",0.208754171920009,0.248538598488085,0.202326125954278,0.247303133178502,0.205735859996639,0.242206218582578
"be",0.273439046088606,0.256815209635533,0.24440204128623,0.224304103082977,0.233803504775278,0.297312744054943
"called",0.209541055071168,0.295448467344977,0.280305899423547,0.266748439893126,0.206822623196058,0.258109146170318
