"","V1","V2","V3","V4","V5","V6"
"*",0.125608867174014,0.138264091848396,0.198801077133976,0.101115010865033,0.136589703266509,0.12224085079506
"buffer",0.225178151554428,0.213463326264173,0.263819134188816,0.220139927440323,0.236222732556053,0.264906965941191
"manager",0.205772369704209,0.203349873260595,0.232316796900705,0.25689153438434,0.235837860684842,0.288035633182153
"interface",0.278674712846987,0.219642487261444,0.205165387014858,0.247667584242299,0.227802001615055,0.21099843964912
"routines",0.28706921627745,0.219928066362627,0.258645184920169,0.207289808499627,0.259095552191138,0.273461942840368
"portions",0.260831407108344,0.297920708078891,0.295920478692278,0.299996233615093,0.272979757003486,0.208130697137676
"copyright",0.288709112186916,0.291685025952756,0.227311045187525,0.285102088772692,0.272193686710671,0.235882359254174
"(c)",0.119173528021201,0.155576319480315,0.129454242857173,0.110716901835985,0.133070344710723,0.106118526426144
"-,",0.124258312466554,0.11068021976389,0.130577244306915,0.106003371463157,0.181759330676869,0.162184980907477
"postgresql",0.223381719365716,0.220047296932898,0.261302862898447,0.215031585260294,0.269175781658851,0.228160145110451
"global",0.206349259079434,0.270640422543511,0.224969254224561,0.227006588573568,0.296069074980915,0.278199520730413
"development",0.241609737114049,0.227768246619962,0.285742018208839,0.27847310428042,0.2113609546097,0.271030900930054
"group",0.22668349056039,0.268876417493448,0.274816342489794,0.28626705177594,0.274829123588279,0.253596105868928
"identification",0.283694311673753,0.23580118662212,0.244167541642673,0.273817165661603,0.27287439906504,0.216168124508113
"*/",0.176763914851472,0.18479871514719,0.185232346900739,0.188917897385545,0.102104592788965,0.174140512384474
"principal",0.224238406168297,0.278610931360163,0.260332699818537,0.261959990859032,0.275762037560344,0.237900201929733
"entry",0.293349976744503,0.208542334730737,0.247191010788083,0.299157779081725,0.208736066077836,0.259559318725951
"points:",0.288939472683705,0.210843776841648,0.235830930317752,0.236365748359822,0.27655289627146,0.273956444929354
"readbuffer()",0.222109410329722,0.268400895176455,0.252393957832828,0.200912948977202,0.28842842830345,0.262897390150465
"--",0.156660352204926,0.15914647821337,0.191739631281234,0.14653300573118,0.173818165040575,0.114889426133595
"find",0.280736490641721,0.290300983400084,0.280643666931428,0.257935712183826,0.267278202972375,0.275364566757344
"or",0.246118918852881,0.224497799249366,0.269192614359781,0.218760278727859,0.259595692320727,0.263325421768241
"create",0.299752863892354,0.221123697096482,0.210208005644381,0.278551046201028,0.29639133294113,0.258352493494749
"a",0.26513607208617,0.216503508365713,0.297273830510676,0.224165433458984,0.205019158287905,0.277871761913411
"holding",0.243237751466222,0.288122532516718,0.257827184977941,0.202727398532443,0.233086817199364,0.284149830439128
"the",0.295438498095609,0.272881079325452,0.262542892992497,0.218842411856167,0.266746127139777,0.215926752169617
"requested",0.240856801881455,0.287219722312875,0.296167927561328,0.297090311162174,0.211111593432724,0.286151632037945
"page,",0.221084925276227,0.241313617769629,0.242228050739504,0.268540473422036,0.246142616565339,0.284921850007959
"*		is",0.229030544823036,0.203977179317735,0.228847259609029,0.226959716598503,0.200533284782432,0.264729636861011
"using",0.212301955744624,0.252609824854881,0.255054240254685,0.204414687724784,0.282573154498823,0.206973173841834
"it.",0.267933697509579,0.242372287367471,0.294059438374825,0.27778018694371,0.21871161677409,0.293422828637995
"releasebuffer()",0.232105252356268,0.297309274575673,0.220776893850416,0.267260385956615,0.267941034096293,0.229940266115591
"unpin",0.252836144738831,0.289653705689125,0.286553399101831,0.255840661120601,0.274026800692081,0.217893598577939
"markbufferdirty()",0.204103607358411,0.26096023817081,0.22111601610668,0.27414807707537,0.206052829371765,0.252944330661558
"mark",0.291726261633448,0.296741864946671,0.219426500541158,0.234661502437666,0.255365784023888,0.211050697090104
"pinned",0.205646917084232,0.276445238478482,0.290187011263333,0.295586385694332,0.209015516401269,0.254743336094543
"buffer's",0.204144728789106,0.297896833671257,0.226440707198344,0.233238165825605,0.239601870509796,0.241429261770099
"contents",0.209729343210347,0.230368356336839,0.293523476901464,0.272501502302475,0.274031224637292,0.214747432456352
"as",0.256307253194973,0.28052188900765,0.28787769775372,0.262656314228661,0.2695132027613,0.268061050865799
"""dirty"".",0.231567306164652,0.241503227921203,0.278015628014691,0.225745052262209,0.203209623484872,0.209759946214035
"*		freelist.c",0.208635365590453,0.273506493750028,0.246804904495366,0.201653639925644,0.297847280558199,0.208840972930193
"chooses",0.274622267228551,0.273112605279312,0.240006031887606,0.253457638481632,0.292448337376118,0.270761703909375
"victim",0.244149597850628,0.244594243774191,0.253965218295343,0.266526320227422,0.270426501752809,0.270661973906681
"for",0.264726454694755,0.223856059927493,0.256285926839337,0.278026199899614,0.22342690390069,0.222487461613491
"replacement",0.20094206542708,0.278739150986075,0.255236088205129,0.256887907837518,0.281051541143097,0.269885539519601
"/*",0.160858575906605,0.10092086866498,0.189793197275139,0.191443585767411,0.155628802347928,0.123143781768158
"note:",0.25318196862936,0.273332988307811,0.28181521401275,0.212147658667527,0.221108687366359,0.243454199424014
"this",0.294855546788312,0.295263031846844,0.271333599206992,0.22732245430816,0.23200347928796,0.206068599270657
"macro",0.217438641143963,0.269141065748408,0.240594238531776,0.274531216849573,0.238875905051827,0.285670323180966
"only",0.206654157023877,0.201962398504838,0.261189597402699,0.218469769577496,0.261529235052876,0.27476511169225
"works",0.292487938166596,0.203147187526338,0.25256776844617,0.285772547964007,0.238563103484921,0.282497935555875
"on",0.224308176292107,0.262739627459086,0.260109112923965,0.201992374798283,0.241527761076577,0.276744517171755
"local",0.251476395246573,0.201879266113974,0.276596571411937,0.299941152939573,0.281219118763693,0.245290395617485
"buffers,",0.206967158732004,0.22838254456874,0.267928011855111,0.223306920425966,0.288120621372946,0.293327326443978
"not",0.283247250481509,0.226073630480096,0.299278867826797,0.225176774547435,0.273587604169734,0.295151164080016
"shared",0.275510194362141,0.202597599918954,0.249781455565244,0.200982964388095,0.287774259946309,0.222510567144491
"ones!",0.289695372944698,0.241339259059168,0.288810186786577,0.292318387003616,0.27116517634131,0.244616236910224
"bits",0.274038315238431,0.277981505333446,0.286430453369394,0.294355048472062,0.209555769362487,0.216801622486673
"in",0.245546678151004,0.23417631641496,0.294831036496907,0.226661130459979,0.283981972606853,0.268657656852156
"synconebuffer's",0.25599188064225,0.285290698637255,0.262950120796449,0.281991104735062,0.236283879796974,0.277300125244074
"return",0.267274892609566,0.245001454325393,0.235049597150646,0.229216907382943,0.292432300909422,0.255428739776835
"value",0.203133463882841,0.294336719694547,0.241948253987357,0.22792656715028,0.202898584771901,0.261103419703431
"bool",0.232336099422537,0.230282407347113,0.252049139211886,0.232778071658686,0.215597258415073,0.241291620233096
"zero_damaged_pages",0.209475040342659,0.263138230191544,0.246439407370053,0.261089323973283,0.223972839815542,0.273440034291707
"int",0.289105074037798,0.260988904815167,0.255235601565801,0.282199220615439,0.294553195289336,0.238641775515862
"bgwriter_lru_maxpages",0.283433294366114,0.288090957305394,0.299029018264264,0.287188227311708,0.241028475784697,0.253169781714678
"double",0.284342881594785,0.286354545503855,0.215864503267221,0.276484192744829,0.232421935722232,0.227612174209207
"bgwriter_lru_multiplier",0.272577534709126,0.217671031784266,0.205849673692137,0.201796068367548,0.213888309337199,0.205415101465769
"track_io_timing",0.257515302603133,0.239692080486566,0.223619089671411,0.257729773106985,0.248192689125426,0.212482088222168
"readbuffer",0.24710644420702,0.26228132660035,0.240748281381093,0.214635830977932,0.288461537542753,0.296889461460523
"calls",0.200141345662996,0.250926057528704,0.213850217475556,0.215824089501984,0.20145767419599,0.265260186605155
"by.",0.187321662739851,0.117923869402148,0.172855094680563,0.145968115818687,0.103643473354168,0.107525133225136
"is",0.286376220174134,0.29796402414795,0.281066087307408,0.263111392012797,0.2766410370823,0.205043596751057
"maintained",0.237794693303294,0.285171905672178,0.244641122617759,0.259055605111644,0.225131495669484,0.298844202095643
"by",0.168199343653396,0.17277413229458,0.172695750277489,0.13157885952387,0.17128987389151,0.160428474075161
"assign",0.209943953715265,0.234767387667671,0.243454715423286,0.286324338964187,0.280654329946265,0.244446953339502
"hook",0.259853707300499,0.27078468806576,0.286188369709998,0.208395898086019,0.201854260941036,0.208598223864101
";",0.182419081218541,0.123259320459329,0.128183305030689,0.11926076321397,0.179960093926638,0.112066966178827
"static",0.231928316713311,0.200822507496923,0.294260273058899,0.204156818590127,0.254652431979775,0.205705302557908
"volatile",0.285373622877523,0.249292027088813,0.217900382797234,0.209480337263085,0.205122051551007,0.244139806902967
"bufferdesc",0.274639827129431,0.206345499656163,0.277270507952198,0.295785300782882,0.21403754488565,0.24882606996689
"*inprogressbuf",0.223731022956781,0.220767182367854,0.201894024666399,0.280052357004024,0.277401417843066,0.296523711248301
"isforinput;",0.268162981118076,0.246522305416875,0.22391976302024,0.252200277429074,0.290741823450662,0.294837991637178
"*pincountwaitbuf",0.275451621552929,0.287906770780683,0.299224899546243,0.201570812845603,0.267167728440836,0.221542228246108
"readbuffer_common(smgrrelation",0.239968557376415,0.261388138495386,0.224126010411419,0.215506520401686,0.295883149863221,0.234755694237538
"smgr,char",0.20407357653603,0.207841153815389,0.203495005494915,0.216836500284262,0.266442195815034,0.283910452877171
"relpersistence,forknumber",0.236773981689475,0.208801034325734,0.225135602406226,0.263134400127456,0.260587826278061,0.291392924962565
"forknum,blocknumber",0.262644478259608,0.220508094807155,0.29916481655091,0.211887150024995,0.28083492978476,0.272700560721569
"blocknum,readbuffermode",0.231834136811085,0.273993149632588,0.271206242311746,0.264832528331317,0.281594727444462,0.227936137304641
"mode,bufferaccessstrategy",0.240988975553773,0.225966108008288,0.281258994317614,0.2769547682954,0.239793541072868,0.269598461035639
"strategy,bool",0.200737254624255,0.224161686887965,0.258840279793367,0.267967797257006,0.253344174963422,0.242824723059312
