"","V1","V2","V3","V4","V5","V6"
"""""	""include",0.284307360020466,0.298078125226311,0.258278285129927,0.233539172355086,0.298089109337889,0.202497503580526
"systypesh""",0.235056823119521,0.240481734741479,0.265158838219941,0.284416644927114,0.244502963800915,0.275004198006354
"sysshmh""",0.147709325444885,0.105429816688411,0.112940273224376,0.123337180353701,0.18876573422458,0.189232878223993
"stdlibh""",0.282802510098554,0.256294530932792,0.239244377985597,0.245852852193639,0.28389983123634,0.232685737754218
"stringh""",0.292079120012932,0.291920332680456,0.246385453478433,0.237405594927259,0.251510117575526,0.294097690889612
"""""	""",0.184894031845033,0.194688655016944,0.183254915778525,0.172602564259432,0.15462319473736,0.184997426858172
"int",0.267909363098443,0.244393333396874,0.262438207678497,0.284588904795237,0.286055384250358,0.289073441177607
"shmsz",0.166542620118707,0.115406016958877,0.160841212328523,0.121239653415978,0.191358312498778,0.191590894013643
"size",0.248709688219242,0.217984437174164,0.260776292206719,0.233195551135577,0.226122587523423,0.262736167828552
"of",0.288571575749666,0.257656808570027,0.208644162490964,0.226206214819103,0.236626531579532,0.223473252402619
"shared",0.299797927238978,0.27572469941806,0.265606129937805,0.215184272732586,0.234982468443923,0.254444857523777
"mem",0.233848437364213,0.254802624718286,0.232997063850053,0.201696428097785,0.266416132147424,0.21250922139734
"default",0.230046690907329,0.217364643560722,0.264181968523189,0.282105235056952,0.224627573555335,0.262103601335548
"""",0.135838702996261,0.111369942314923,0.181615919200704,0.159303195588291,0.158210119605064,0.144855332444422
"keyt",0.221395248291083,0.290829873969778,0.230041745374911,0.210020105284639,0.290700759692118,0.25087747820653
"key",0.272859304212034,0.228194266697392,0.298695093230344,0.249230623943731,0.227586578507908,0.279092683736235
"name",0.288340189587325,0.204699857509695,0.201640502363443,0.297615310340188,0.294886048231274,0.293967906245962
"memory",0.277295292541385,0.273494931007735,0.260643001133576,0.294586323527619,0.224872246221639,0.227456366107799
"char",0.206180073320866,0.28782733050175,0.26850337034557,0.216014163196087,0.202254030527547,0.232003688719124
"str",0.103762053698301,0.16079777716659,0.180064287036657,0.177182009746321,0.196483108680695,0.18155032726936
"null",0.216241715592332,0.224780085170642,0.270875079929829,0.257275754329748,0.263383519626223,0.25187018525321
"data",0.284816890908405,0.235696069058031,0.236542267911136,0.23598178147804,0.246675469051115,0.242281460878439
"to",0.238924685306847,0.240908690961078,0.259496117243543,0.208355412492529,0.221607503644191,0.217169394390658
"put",0.271489159180783,0.262123242742382,0.242496479256079,0.222607337217778,0.232927676849067,0.248698267154396
"into",0.252448527561501,0.289060463034548,0.279198346612975,0.286969010112807,0.243072819057852,0.256249963189475
"the",0.254464158881456,0.240996561385691,0.265205722278915,0.237214965536259,0.229445066885091,0.226574833760969
"errors",0.280105866398662,0.245980136143044,0.215192141989246,0.262223636172712,0.213011813419871,0.244985655508935
"file",0.200915105780587,0.255208692373708,0.215502207749523,0.251369047164917,0.250529658980668,0.242615944216959
"outfile",0.287833048007451,0.246608690288849,0.299460349651054,0.228477956936695,0.261555031104945,0.240555223915726
"null""",0.27699062100146,0.26807986877393,0.247531305649318,0.209378705034032,0.298816536529921,0.210333230206743
